POI_ID,Company_ID,Company_Name,HQ_Country,Service_Type,FY_Year,Total_Customers_To_POI,Active_Tourists,Avg_Customer_Rating,Revenue(USD),Marketing_Expenditure_USD,Avg_Booking_Value,Destinations_Preference_Index,Tech_Adaptability_index,Digital_Channel_Share,Customer_Retention,Avg_Trip_Cost_USD,Commission,CSR_Focus_index,Reviews,Booking_Platforms,POI_Name,Country,Region_type,POI_Latitude,POI_Longitude,POI_Type_Detailed,Time_To_Visit,Family_Friendly_Index,Transit_Time(in mins),Local_Transfer(USD),Accessebility_Value,Visitor_Volume(in thousands),Seasonality_Index,Food_Index,Operating_Hours,Safety_Index,Cost_of_POI,Connectivity_index,Common_Travel_Partner,Total_Visitors,Dominant_Age_Group,Origin_Country,Average_Sentiment_Score,Average_Rating,Avg_spend_per_head,Accesebility_index,Travel_mode,time_spent,Overall_experience,Engagement_Score,Family_Score,Profit_Margin,Revenue_Per_Customer,Marketing_ROI,POI_Category,Price_Tier,Digital_Adoption,Season_Category,Cluster,High_Performer
POI_00011,COMP_0023,Norwegian Cruise Line,United Kingdom,Hotel Chain,2021,849115,748625,8.4,377697.36,58606.34,3.9,4.8,6.3,0.99,0.58,633.13,436303.7,7.0,Unforgettable experience with lasting memories,Booking.com,Singapore Nature Park,Singapore,Urban,1.395715,103.839403,Nature Park,Summer Season,4.6,79,No,8.3,2699.9,9.5,7.2,7:00 AM - 17:00 PM,7.3,366.12,6.2,Couple,2,56-65,China,8.0,8.3,666.55,7.5,Bus,30 mins,8.9,8.43,5.95,0.845,0.44,6.44,Nature/Adventure,Luxury,High,Summer,0.0,0
POI_00012,COMP_0028,Trafalgar Tours,Japan,Hotel Chain,2023,2684936,2167159,8.5,280441.88,37572.02,3.1,7.8,5.6,0.43,0.52,574.3,318013.9,6.8,Highly recommended for first-time visitors,Direct Website,Dubai Mountain Resort,UAE,Urban,25.192358,55.230198,Mountain Resort,Year-Round,4.3,63,No,6.4,445.5,4.1,6.6,24 Hours,5.1,66.81,7.7,Couple,2,56-65,Germany,8.1,8.3,188.94,6.3,Bus,72 hours,8.7,8.43,4.7,0.866,0.1,7.46,Nature/Adventure,Budget,Low,Year-Round,1.0,0
POI_00013,COMP_0021,Carnival Corporation,Singapore,Resort,2022,5471543,4855152,8.6,299840.37,53805.63,3.4,5.8,4.8,0.95,0.78,2247.96,353646.0,5.4,Beautiful setting with convenient location access,Expedia,Rome Religious Site,Italy,Historical,41.90443,12.478696,Religious Site,October-December,5.8,61,Yes,5.0,5849.4,4.6,5.4,8:00 AM - 17:00 PM,6.1,162.61,7.5,Couple,2,56-65,Germany,9.6,9.2,562.14,5.9,Flight,240 mins,10.0,9.4,5.95,0.821,0.05,5.57,Cultural/Heritage,Mid-Range,High,Year-Round,0.0,1
POI_00014,COMP_0022,Royal Caribbean,Thailand,Hotel Chain,2024,443068,389653,7.0,338914.24,38168.86,6.5,5.7,4.7,0.54,0.6,2883.84,377083.1,6.6,Perfect destination for families with children,TripAdvisor,London Art Gallery,United Kingdom,Historical,51.462,-0.173727,Art Gallery,October-December,8.0,64,No,5.2,10267.7,5.0,6.9,9:00 AM - 18:00 PM,6.3,245.23,7.1,Couple,2,65+,Canada,9.6,9.4,544.57,4.9,Bus,120 mins,9.2,8.6,7.15,0.887,0.76,8.88,Urban/Entertainment,Mid-Range,Medium,Year-Round,0.0,0
POI_00015,COMP_0024,MSC Cruises,Japan,Resort,2023,2220243,1599228,6.6,156762.09,23327.76,5.0,3.3,3.8,0.68,0.56,770.97,180089.85,5.5,Outstanding service exceeded our expectations completely,Airbnb,London Food Market,United Kingdom,Historical,51.551423,-0.120253,Food Market,Winter Season,6.2,63,No,5.9,1804.2,9.8,7.2,24 Hours,5.2,81.21,4.9,Solo,1,65+,China,6.9,7.6,166.11,6.4,Bus,240 mins,6.9,6.8,5.7,0.851,0.07,6.72,Urban/Entertainment,Budget,Medium,Winter,1.0,0
POI_00016,COMP_0030,Insight Vacations,Indonesia,Travel Agency,2021,10136224,8816941,9.0,451420.95,87878.47,6.8,7.1,4.9,0.56,0.62,1562.22,539299.42,5.6,Clean and comfortable with friendly staff members,Booking.com,Sydney Cultural Center,Australia,Coastal,-33.845293,151.239648,Cultural Center,October-December,4.2,93,No,6.4,5115.3,7.0,5.0,7:00 AM - 20:00 PM,5.3,399.39,5.2,Couple,2,36-45,Canada,7.7,7.1,700.89,5.1,Flight,120 mins,7.5,8.07,4.75,0.805,0.04,5.14,Cultural/Heritage,Luxury,Medium,Year-Round,1.0,0
POI_00017,COMP_0008,Best Western,France,Tour Operator,2023,165256515,122132596,9.2,216571.42,22159.26,7.4,5.9,4.7,0.75,0.61,3071.0,238730.68,8.9,Highly recommended for first-time visitors,Booking.com,Paris Art Gallery,France,Historical,48.897138,2.311329,Art Gallery,October-December,7.1,114,Yes,5.7,637.8,4.2,4.8,24 Hours,6.3,388.57,6.7,Friends,6,46-55,Canada,6.7,7.3,446.09,3.9,Bus,30 mins,7.4,7.77,6.7,0.898,0.0,9.77,Urban/Entertainment,Luxury,Medium,Year-Round,0.0,0
POI_00018,COMP_0007,Choice Hotels,Turkey,Tour Operator,2021,3232593,2887775,9.7,471269.65,96329.62,9.5,9.0,6.3,0.57,0.87,655.92,567599.27,6.4,Exceeded expectations in every possible way,Direct Website,Paris Scenic Viewpoint,France,Historical,48.876697,2.309476,Scenic Viewpoint,Year-Round,7.9,23,No,5.0,63959.8,6.9,6.4,10:00 AM - 22:00 PM,7.0,415.76,9.1,Friends,7,26-35,Germany,9.8,9.3,363.38,5.0,Train,30 mins,9.8,9.77,7.45,0.796,0.15,4.89,Urban/Entertainment,Luxury,Medium,Year-Round,0.0,1
POI_00019,COMP_0029,Contiki Holidays,Indonesia,Cruise Line,2021,4184281,3046227,8.3,414551.03,95371.96,5.5,7.8,7.2,0.79,0.7,1222.04,509922.99,5.6,Highly recommended for first-time visitors,Expedia,Rome Museum,Italy,Historical,41.864553,12.511321,Museum,January-March,7.1,116,No,6.2,7554.2,3.9,8.8,10:00 AM - 21:00 PM,5.4,486.45,5.6,Couple,2,18-25,China,9.7,9.0,469.39,9.0,Flight,180 mins,8.2,8.73,6.25,0.77,0.1,4.35,Cultural/Heritage,Luxury,Medium,Winter,0.0,1
POI_00020,COMP_0008,Best Western,Australia,Travel Agency,2024,863199,690821,9.7,310226.06,32695.14,8.3,8.0,8.3,0.86,0.88,362.91,342921.2,6.5,Highly recommended for first-time visitors,TripAdvisor,Sydney Nature Park,Australia,Coastal,-33.914255,151.187396,Nature Park,October-December,9.3,62,Yes,7.9,1600.3,4.1,5.8,10:00 AM - 17:00 PM,7.7,209.01,8.2,Friends,3,65+,Japan,10.0,9.8,790.35,8.3,Train,72 hours,9.9,9.87,8.5,0.895,0.36,9.49,Nature/Adventure,Mid-Range,High,Year-Round,0.0,1
POI_00021,COMP_0014,Booking Holdings,Turkey,Cruise Line,2022,166850,117813,7.9,88406.36,9525.98,2.6,7.2,5.4,0.39,0.62,753.21,97932.34,7.0,Facility could use some updates and maintenance,Expedia,New York Scenic Viewpoint,United States,Urban,40.704624,-73.962727,Scenic Viewpoint,Summer Season,5.0,17,Yes,6.5,4411.3,7.5,9.4,24 Hours,8.9,427.25,7.5,Solo,1,46-55,China,9.3,9.5,291.38,5.0,Car,48 hours,10.0,9.07,6.95,0.892,0.53,9.28,Urban/Entertainment,Luxury,Low,Summer,0.0,1
POI_00022,COMP_0017,TUI Group,Spain,Hotel Chain,2020,4193776,3470291,8.1,61407.83,15007.91,6.5,8.0,6.1,0.53,0.71,407.28,76415.74,5.1,Good value for money with comfortable accommodations,Expedia,Dubai Religious Site,UAE,Urban,25.167716,55.316205,Religious Site,Summer Season,5.2,85,No,6.8,482.8,7.4,4.7,24 Hours,7.3,284.14,7.6,Couple,2,46-55,France,8.4,8.4,696.53,6.5,Car,30 mins,8.5,8.33,6.25,0.756,0.01,4.09,Cultural/Heritage,Mid-Range,Medium,Summer,0.0,0
POI_00023,COMP_0021,Carnival Corporation,UAE,Cruise Line,2024,757263,553777,9.3,325274.34,53000.2,4.4,7.2,8.0,0.76,0.65,1849.59,378274.54,9.1,Excellent staff and well-maintained property throughout,Direct Website,Los Angeles Adventure Park,United States,Urban,34.003654,-118.258641,Adventure Park,April-June,5.8,60,Yes,8.0,3380.7,6.1,5.9,24 Hours,7.1,438.06,8.2,Couple,2,36-45,France,7.8,8.4,748.61,6.3,Train,240 mins,8.0,8.37,6.45,0.837,0.43,6.14,Nature/Adventure,Luxury,Medium,Spring/Fall,0.0,0
POI_00024,COMP_0013,Expedia Group,Turkey,Cruise Line,2024,23764319,20236963,7.0,271227.14,46385.47,2.2,3.9,3.7,0.33,0.63,431.92,317612.61,6.0,Highly recommended for first-time visitors,TripAdvisor,Bali Archaeological Site,Indonesia,Island,-8.37531,115.055883,Archaeological Site,Year-Round,5.1,51,Yes,8.2,98.8,4.9,7.2,24 Hours,5.8,136.53,5.3,Solo,1,65+,Australia,8.0,8.6,295.01,5.1,Flight,30 mins,7.9,7.63,5.45,0.829,0.01,5.85,Cultural/Heritage,Mid-Range,Low,Year-Round,1.0,0
POI_00025,COMP_0028,Trafalgar Tours,France,Hotel Chain,2024,104843,86707,6.7,339088.68,35257.32,2.2,4.6,5.4,0.65,0.6,214.05,374346.0,5.6,Highly recommended for first-time visitors,Airbnb,Dubai Scenic Viewpoint,UAE,Urban,25.162976,55.308158,Scenic Viewpoint,Winter Season,5.1,44,Yes,8.8,958.1,6.8,6.6,6:00 AM - 17:00 PM,7.7,328.21,7.3,Couple,2,56-65,United States,9.6,9.7,623.23,5.0,Car,180 mins,9.2,8.5,6.4,0.896,3.23,9.62,Urban/Entertainment,Luxury,Medium,Winter,0.0,0
POI_00026,COMP_0004,Hyatt Hotels,Thailand,Cruise Line,2021,413867,337341,8.3,138106.01,15247.48,4.7,6.8,6.1,0.68,0.77,3091.32,153353.49,5.8,Disappointing considering the price point charged,Booking.com,Dubai Theme Park,UAE,Urban,25.192528,55.222807,Theme Park,January-March,4.4,49,No,4.1,5190.3,6.6,5.8,7:00 AM - 22:00 PM,6.4,405.13,5.8,Couple,2,65+,China,6.7,7.3,475.97,5.8,Train,120 mins,7.7,7.57,5.4,0.89,0.33,9.06,Urban/Entertainment,Luxury,Medium,Winter,1.0,0
POI_00027,COMP_0024,MSC Cruises,Australia,Tour Operator,2024,853105,741327,6.4,411566.42,58568.04,2.0,5.8,4.1,0.38,0.54,2142.69,470134.46,5.2,Perfect destination for families with children,TripAdvisor,Dubai Mountain Resort,UAE,Urban,25.178523,55.230978,Mountain Resort,Winter Season,4.1,31,Yes,3.9,567.7,9.6,3.6,24 Hours,5.3,234.68,6.6,Couple,2,65+,Japan,6.1,6.6,378.5,6.5,Train,72 hours,7.1,6.53,4.7,0.858,0.48,7.03,Nature/Adventure,Mid-Range,Low,Winter,1.0,0
POI_00028,COMP_0030,Insight Vacations,United Kingdom,Tour Operator,2024,3000261,2584326,6.7,387891.98,82691.37,6.7,4.7,4.6,0.84,0.48,1401.78,470583.35,6.5,Relaxing environment with modern amenities available,Expedia,Phuket Museum,Thailand,Coastal,7.849104,98.374668,Beach Resort,Spring-Fall,5.8,40,Yes,4.3,1013.2,5.4,5.0,7:00 AM - 20:00 PM,6.4,119.46,6.1,Family,4,36-45,Germany,7.0,7.7,335.62,4.4,Flight,240 mins,7.0,6.9,6.1,0.787,0.13,4.69,Beach/Island,Mid-Range,High,Spring/Fall,1.0,0
POI_00029,COMP_0005,Accor Hotels,Singapore,Resort,2024,2196610,1678232,6.4,308047.05,60000.04,5.9,4.4,3.2,0.93,0.4,3060.16,368047.09,4.2,Lovely place with authentic local experiences,Booking.com,Singapore Adventure Park,Singapore,Urban,1.336987,103.862753,Adventure Park,Summer Season,9.1,28,No,8.0,3156.8,8.3,8.6,10:00 AM - 19:00 PM,6.1,407.87,6.3,Solo,1,18-25,France,8.7,9.3,214.99,8.4,Car,90 mins,9.6,8.23,7.6,0.805,0.14,5.13,Nature/Adventure,Luxury,High,Summer,0.0,0
POI_00030,COMP_0020,Intrepid Travel,Singapore,Cruise Line,2020,8617978,6599069,7.8,248688.73,57983.18,6.0,6.8,7.0,0.85,0.49,420.87,306671.91,5.8,Good value for money with comfortable accommodations,Airbnb,Istanbul Botanical Garden,Turkey,Historical,41.032961,28.978672,Botanical Garden,Winter Season,6.6,55,Yes,5.3,1628.5,9.6,5.6,24 Hours,4.5,472.92,5.9,Friends,4,56-65,Germany,6.4,6.9,655.82,5.6,Flight,240 mins,6.9,7.03,5.55,0.767,0.03,4.29,Urban/Entertainment,Luxury,High,Winter,1.0,0
POI_00031,COMP_0029,Contiki Holidays,United States,Tour Operator,2021,4655668,3337282,7.4,216788.97,48109.79,5.9,4.0,6.7,0.79,0.47,1581.3,264898.76,4.0,Great location but slightly crowded during peak season,Expedia,Rome Theme Park,Italy,Historical,41.940477,12.480608,Theme Park,Winter Season,5.2,103,Yes,5.2,19108.6,6.6,5.7,8:00 AM - 21:00 PM,8.3,374.02,8.0,Family,5,65+,China,9.4,9.3,276.26,6.3,Train,90 mins,8.7,8.5,6.75,0.778,0.05,4.51,Urban/Entertainment,Luxury,Medium,Winter,0.0,0
POI_00032,COMP_0029,Contiki Holidays,Turkey,Hotel Chain,2020,26749314,22754990,9.8,55109.14,9385.04,5.5,5.3,8.7,0.69,0.73,355.68,64494.18,9.3,Exceeded expectations in every possible way,Booking.com,New York Beach Resort,United States,Urban,40.664611,-73.968788,Museum,October-December,7.6,88,No,9.3,1484.1,5.8,5.6,24 Hours,8.1,323.02,7.5,Friends,6,65+,United Kingdom,10.0,9.7,747.9,7.0,Flight,90 mins,8.9,9.57,7.85,0.83,0.0,5.87,Cultural/Heritage,Luxury,Medium,Year-Round,0.0,1
POI_00033,COMP_0025,Disney Cruise Line,Italy,Resort,2021,12854843,11472106,6.2,451014.4,80801.56,3.5,4.0,5.8,0.46,0.58,778.92,531815.96,3.1,Exceeded expectations in every possible way,TripAdvisor,Sydney Wildlife Sanctuary,Australia,Coastal,-33.88528,151.239585,Wildlife Sanctuary,October-December,4.0,56,No,4.6,1266.9,4.4,5.2,10:00 AM - 21:00 PM,4.7,151.07,4.7,Family,3,46-55,Canada,5.6,6.0,448.86,4.3,Train,180 mins,6.5,6.1,4.35,0.821,0.04,5.58,Nature/Adventure,Mid-Range,Low,Year-Round,1.0,0
POI_00034,COMP_0006,Wyndham Hotels,Thailand,Travel Agency,2024,7858777,6371667,10.0,70450.87,10014.2,9.8,7.6,8.1,0.79,0.76,2036.08,80465.07,8.1,Would definitely return for another visit soon,Expedia,Los Angeles Wildlife Sanctuary,United States,Urban,34.010735,-118.194013,Wildlife Sanctuary,Summer Season,6.4,22,Yes,7.0,6118.5,6.8,7.6,7:00 AM - 22:00 PM,5.5,135.81,4.9,Family,4,26-35,Germany,8.1,8.0,146.0,7.1,Flight,24 hours,7.9,8.67,5.95,0.858,0.01,7.04,Nature/Adventure,Mid-Range,Medium,Summer,1.0,1
POI_00035,COMP_0030,Insight Vacations,Italy,Resort,2022,2592359,1958466,9.8,291243.36,42646.52,4.2,7.2,6.6,0.71,0.61,2371.05,333889.88,9.7,Outstanding service exceeded our expectations completely,Airbnb,Istanbul Food Market,Turkey,Historical,40.985274,28.9928,Food Market,October-December,3.9,31,No,6.5,1981.7,3.9,4.7,9:00 AM - 20:00 PM,6.6,58.87,4.9,Couple,2,26-35,United States,8.1,7.6,224.98,6.3,Bus,60 mins,7.2,8.37,5.25,0.854,0.11,6.83,Urban/Entertainment,Budget,Medium,Year-Round,1.0,0
POI_00036,COMP_0015,Airbnb Inc,Italy,Cruise Line,2020,12876830,9432579,9.3,70348.4,7313.07,8.7,8.5,9.1,0.81,0.76,3011.64,77661.47,6.6,Facility could use some updates and maintenance,Expedia,Phuket Museum,Thailand,Coastal,7.920034,98.3436,Beach Resort,October-December,3.8,17,Yes,3.7,1964.4,5.3,4.5,9:00 AM - 18:00 PM,6.0,417.85,4.6,Friends,4,65+,Japan,6.1,6.3,513.21,4.0,Cruise,240 mins,6.5,7.3,4.9,0.896,0.01,9.62,Beach/Island,Luxury,High,Year-Round,1.0,0
POI_00037,COMP_0003,IHG Hotels,Singapore,Hotel Chain,2024,3316676,2965052,7.5,499872.95,124716.06,6.7,6.9,5.5,0.59,0.52,2821.24,624589.01,4.0,Professional service and attention to detail,Expedia,Sydney Mountain Resort,Australia,Coastal,-33.829345,151.239286,Mountain Resort,Spring-Fall,3.9,43,No,5.9,303.8,3.6,7.1,24 Hours,7.7,286.56,5.1,Family,3,26-35,France,7.0,7.7,740.01,4.3,Bus,240 mins,7.8,7.43,5.8,0.751,0.15,4.01,Nature/Adventure,Mid-Range,Medium,Spring/Fall,1.0,0
POI_00038,COMP_0019,G Adventures,Japan,Hotel Chain,2020,522010,464042,8.2,328157.71,50445.85,7.3,5.1,5.9,0.39,0.77,780.15,378603.56,6.6,Great location but slightly crowded during peak season,Expedia,Barcelona Religious Site,Spain,Coastal,41.394841,2.183452,Religious Site,Year-Round,5.1,111,No,6.2,7908.0,4.5,6.6,24 Hours,5.4,124.83,7.8,Family,3,56-65,China,8.9,8.7,271.74,6.0,Train,60 mins,8.3,8.47,5.25,0.846,0.63,6.51,Cultural/Heritage,Mid-Range,Low,Year-Round,1.0,0
POI_00039,COMP_0003,IHG Hotels,France,Tour Operator,2020,3090581,2484928,6.5,329139.3,67674.98,5.8,5.0,5.1,0.91,0.48,480.6,396814.28,3.7,Lovely place with authentic local experiences,Expedia,Dubai Food Market,UAE,Urban,25.157918,55.247026,Food Market,Winter Season,4.4,67,No,6.7,14038.5,6.4,4.5,10:00 AM - 20:00 PM,7.5,272.97,7.4,Friends,5,18-25,Germany,8.0,8.4,673.37,7.6,Bus,120 hours,8.7,7.73,5.95,0.794,0.11,4.86,Urban/Entertainment,Mid-Range,High,Winter,0.0,0
POI_00040,COMP_0009,Radisson Hotel Group,Indonesia,Cruise Line,2021,37905554,26644153,6.9,228444.25,44161.24,3.8,5.5,4.8,0.61,0.63,1839.16,272605.49,4.7,Professional service and attention to detail,Expedia,Los Angeles Archaeological Site,United States,Urban,34.05639,-118.206405,Archaeological Site,January-March,8.0,84,No,7.5,924.0,6.4,5.6,8:00 AM - 20:00 PM,7.1,149.54,8.9,Friends,7,56-65,Germany,8.1,8.9,593.9,8.6,Train,90 mins,8.3,7.77,7.55,0.807,0.01,5.17,Cultural/Heritage,Mid-Range,Medium,Winter,0.0,0
POI_00041,COMP_0024,MSC Cruises,Turkey,Travel Agency,2023,2475849,1960444,9.4,118356.21,14300.28,9.3,7.0,6.2,0.74,0.64,190.22,132656.49,5.1,Facility could use some updates and maintenance,Direct Website,Paris Shopping District,France,Historical,48.892804,2.386655,Shopping District,July-September,6.7,18,No,5.8,1134.0,3.3,6.2,7:00 AM - 21:00 PM,5.4,376.15,4.6,Solo,1,46-55,United States,7.0,7.3,477.64,6.5,Bus,60 mins,7.0,7.8,6.05,0.879,0.05,8.28,Urban/Entertainment,Luxury,Medium,Summer,1.0,0
POI_00042,COMP_0026,Celebrity Cruises,United States,Resort,2020,7388544,5682776,8.6,129654.72,14690.58,8.0,6.3,7.2,0.42,0.57,436.5,144345.3,4.5,Good value for money with comfortable accommodations,Direct Website,Paris Botanical Garden,France,Historical,48.900507,2.382078,Botanical Garden,October-December,6.8,95,No,7.0,1874.8,4.9,8.1,24 Hours,9.5,492.84,9.1,Family,4,36-45,Australia,9.8,10.0,616.31,6.2,Bus,90 mins,9.2,9.2,8.15,0.887,0.02,8.83,Urban/Entertainment,Luxury,Low,Year-Round,0.0,1
POI_00043,COMP_0012,Melia Hotels,United States,Cruise Line,2023,213163,170676,6.5,174594.94,38573.29,5.1,3.4,5.8,0.74,0.41,744.61,213168.23,6.1,Great location but slightly crowded during peak season,Booking.com,Paris Theme Park,France,Historical,48.874565,2.324025,Theme Park,October-December,8.8,24,Yes,6.9,93375.2,3.7,9.8,6:00 AM - 17:00 PM,6.8,474.23,8.4,Couple,2,26-35,United States,10.0,9.8,458.88,6.0,Train,60 mins,9.2,8.57,7.8,0.779,0.82,4.53,Urban/Entertainment,Luxury,Medium,Year-Round,0.0,0
POI_00044,COMP_0002,Hilton Worldwide,United States,Tour Operator,2020,1758889,1304867,9.0,371007.31,86919.97,5.0,6.7,7.3,0.56,0.69,251.36,457927.28,7.9,Facility could use some updates and maintenance,Expedia,Bali Cultural Center,Indonesia,Island,-8.37311,115.081624,Cultural Center,Spring-Fall,7.6,31,No,8.2,991.1,3.9,5.5,8:00 AM - 18:00 PM,7.3,316.82,7.5,Solo,1,26-35,France,8.3,9.0,714.22,5.7,Cruise,30 mins,8.3,8.53,7.45,0.766,0.21,4.27,Cultural/Heritage,Luxury,Medium,Spring/Fall,0.0,0
