POI_ID,POI_Name,Country,Region_type,POI_Latitude,POI_Longitude,POI_Type_Detailed,Time_To_Visit,Family_Friendly_Index,Transit_Time,Local_Transfer(USD),Accessebility_Value,Visitor_Volume,Seasonality_Index,Food_Index,Operating_Hours,Safety_Index,Cost_of_POI,connectivity_index
POI_00027,Carnival Beach Resort - Athens,Greece,Historical,37.994596,23.771207,Beach Resort,39.2,77,17,7,51,800000,31,53,9,65,85,76
POI_00028,Royal Business Center - Dubai,UAE,Rural,25.200792,55.286127,Business Center,5.9,100,87,86,55,800000,46,48,15,62,141,69
POI_00029,Norwegian Marina - United Kingdom,United Kingdom,Historical,54.729664,-3.269341,Marina,7.2,100,19,20,46,800000,58,58,16,74,104,55
POI_00030,Norwegian Marina - France,France,Island,46.635619,1.871109,Marina,3.3,73,33,42,69,800000,85,48,13,67,88,71
POI_00031,Norwegian Resort Hotel - Rome,Italy,Historical,41.937406,12.534028,Resort Hotel,55.2,100,26,20,61,800000,41,74,24,78,100,61
POI_00032,TUI Tourist Info - Los Angeles,United States,Island,34.042349,-118.256013,Tourist Info,6.4,78,32,14,52,800000,60,57,16,67,64,55
POI_00033,TUI Tour Office - Miami,United States,Coastal,25.781329,-80.165875,Tour Office,1.8,92,83,109,65,800000,62,70,10,63,103,75
POI_00034,Thomas Hotel - United States,United States,Urban,39.821587,-100.482843,Hotel,115.6,73,31,16,74,800000,48,89,24,74,134,58
POI_00035,G Outdoor Recreation - Kyoto,Japan,Historical,35.053874,135.747656,Outdoor Recreation,4.0,96,37,33,55,800000,40,62,9,62,144,68
POI_00036,G Hotel - Paris,France,Urban,48.898065,2.342091,Hotel,59.7,84,57,71,65,800000,53,66,24,66,60,62
POI_00037,Intrepid Travel Agency - France,France,Urban,46.578812,1.864064,Travel Agency,8.3,86,57,77,58,800000,34,75,14,63,114,58
POI_00038,Intrepid Booking Office - Melbourne,Australia,Metropolitan,-37.84409,144.927748,Booking Office,3.8,100,22,23,82,800000,44,74,10,81,79,80
POI_00039,Abercrombie Travel Agency - San Francisco,United States,Suburban,37.737882,-122.379076,Travel Agency,11.8,86,96,81,50,800000,55,52,11,67,49,70
POI_00040,Abercrombie Tech Hub - United Kingdom,United Kingdom,Urban,54.709126,-3.27,Tech Hub,4.9,100,41,56,72,800000,38,66,14,71,88,71
POI_00041,Trafalgar Tour Office - France,France,Metropolitan,46.560189,1.898939,Tour Office,3.6,93,11,10,60,800000,57,84,9,81,173,87
POI_00042,Trafalgar Tourist Info - Las Vegas,United States,Island,36.187999,-115.179683,Tourist Info,4.0,81,79,112,64,800000,60,68,9,79,97,58
POI_00043,Contiki Travel Agency - United Kingdom,United Kingdom,Metropolitan,54.704146,-3.26496,Travel Agency,9.4,81,13,10,82,330773,45,63,14,81,174,80
POI_00044,Contiki Tourist Info - Vienna,Austria,Coastal,48.175156,16.376507,Tourist Info,5.4,73,105,52,56,800000,76,51,16,88,157,66
POI_00045,Insight Business Center - Mumbai,India,Historical,19.092428,72.920138,Business Center,10.1,95,52,73,52,800000,53,57,8,70,77,65
POI_00046,Collette Travel Agency - Bali,Indonesia,Coastal,-8.332077,115.061394,Travel Agency,3.4,98,39,27,60,800000,66,60,8,65,27,75
POI_00047,Collette Tourist Info - United Kingdom,United Kingdom,Metropolitan,54.669165,-3.245844,Tourist Info,9.4,90,11,14,81,800000,60,75,12,73,99,79
POI_00048,Collette Travel Agency - Los Angeles,United States,Suburban,34.057227,-118.250856,Travel Agency,8.2,88,34,29,44,800000,47,63,14,72,158,67
POI_00049,Tauck Tourist Info - Seoul,South Korea,Island,37.605202,127.017262,Tourist Info,9.7,100,62,50,63,800000,84,58,9,79,67,68
POI_00050,Tauck Business Center - United Kingdom,United Kingdom,Coastal,54.73769,-3.305848,Business Center,7.6,100,114,147,46,673393,87,67,16,72,76,69
POI_00051,Globus Visitor Center - San Francisco,United States,Historical,37.769008,-122.395066,Visitor Center,8.0,89,27,27,60,800000,61,62,12,79,172,61
POI_00052,Globus Port - San Francisco,United States,Historical,37.743347,-122.422299,Port,5.5,84,29,40,66,800000,55,62,9,78,173,75
POI_00053,Globus Corporate Office - London,United Kingdom,Metropolitan,51.505151,-0.091839,Corporate Office,3.2,100,20,29,64,800000,39,81,9,80,62,88
POI_00054,Cosmos Eco Lodge - France,France,Suburban,46.561198,1.913037,Eco Lodge,8.8,100,68,34,43,800000,31,50,14,79,177,54
POI_00055,Gate Business Center - London,United Kingdom,Metropolitan,51.495014,-0.161623,Business Center,11.6,78,30,32,75,800000,57,68,9,71,65,83
POI_00056,Gate Corporate Office - Cancun,Mexico,Coastal,21.198979,-86.854931,Corporate Office,3.8,93,76,100,49,800000,73,73,8,79,27,72
POI_00057,Grand Tourist Office - Tokyo,Japan,Metropolitan,35.661263,139.671801,Tourist Office,3.3,100,37,51,80,800000,54,85,8,90,31,75
POI_00058,Grand Booking Office - United Kingdom,United Kingdom,Coastal,54.698676,-3.312341,Booking Office,2.9,84,31,38,43,800000,73,69,10,62,175,60
POI_00059,Road Destination Office - Seoul,South Korea,Rural,37.603127,126.944017,Destination Office,1.1,87,102,138,57,800000,62,60,11,74,90,56
POI_00060,Road Tour Office - France,France,Suburban,46.569823,1.875909,Tour Office,2.1,97,106,87,56,800000,64,65,10,81,136,76
POI_00061,Road Adventure Center - France,France,Island,46.586283,1.894925,Adventure Center,3.8,100,58,40,64,800000,76,55,8,68,35,54
POI_00062,Adventure Tech Hub - Amsterdam,Netherlands,Metropolitan,52.344881,4.872491,Tech Hub,11.8,100,14,16,71,800000,45,75,11,93,86,96
POI_00063,Pacific Tourist Info - Rome,Italy,Historical,41.890692,12.482326,Tourist Info,6.0,98,47,22,46,800000,53,51,15,65,134,53
POI_00064,Pacific Tour Office - Bali,Indonesia,Coastal,-8.333721,115.104852,Tour Office,2.3,100,96,58,48,800000,61,67,11,66,124,57
POI_00065,China Adventure Center - United States,United States,Coastal,39.8019,-100.414863,Adventure Center,12.0,77,114,99,47,800000,82,53,17,61,76,67
POI_00066,China Port - France,France,Mountain,46.603158,1.85832,Port,11.4,100,54,63,65,800000,87,63,9,77,35,75
POI_00067,China Resort - Bali,Indonesia,Coastal,-8.378659,115.114819,Resort,104.7,100,112,150,56,800000,84,71,9,61,214,64
POI_00068,Wendy Tour Office - United States,United States,Coastal,39.818078,-100.471879,Tour Office,1.9,97,109,143,58,800000,81,58,11,69,85,74
POI_00069,Wendy Travel Agency - United Kingdom,United Kingdom,Island,54.710701,-3.274174,Travel Agency,10.6,97,38,54,68,800000,77,71,16,73,160,60
POI_00070,Wendy Tour Office - France,France,Rural,46.646211,1.882806,Tour Office,1.1,98,44,25,56,800000,36,67,10,61,41,61
POI_00071,Cox Tourist Info - Prague,Czech Republic,Historical,50.070579,14.404379,Tourist Info,8.5,100,19,11,67,800000,47,63,12,69,109,60
POI_00072,Cox Business Hotel - New York,United States,Metropolitan,40.685057,-74.022751,Business Hotel,111.9,95,33,44,59,800000,30,73,24,74,98,92
POI_00073,Cox Business Hotel - Venice,Italy,Metropolitan,45.458346,12.281684,Business Hotel,41.6,80,17,15,75,800000,54,79,24,77,129,78
POI_00074,Kuoni Corporate Office - Bangkok,Thailand,Urban,13.741796,100.485492,Corporate Office,2.9,100,23,25,82,800000,51,70,8,72,59,72
POI_00075,Kuoni Booking Office - New York,United States,Metropolitan,40.68528,-74.003385,Booking Office,1.5,85,19,18,84,800000,50,82,11,73,34,83
POI_00076,Virgin Mountain Resort - United States,United States,Mountain,39.775835,-100.445158,Mountain Resort,41.1,88,104,108,63,800000,89,61,8,71,152,56
POI_00077,Virgin Destination Office - Venice,Italy,Mountain,45.437273,12.333911,Destination Office,1.5,83,110,150,61,800000,83,62,8,71,77,63
POI_00078,Jet2holidays Business Hotel - United States,United States,Suburban,39.797072,-100.472245,Business Hotel,89.6,89,104,106,60,800000,34,61,24,79,71,60
POI_00079,Jet2holidays Mountain Resort - Seoul,South Korea,Metropolitan,37.608796,126.953866,Mountain Resort,118.9,96,10,5,67,800000,62,69,8,70,292,91
POI_00080,On Executive Office - Tokyo,Japan,Metropolitan,35.678707,139.672241,Executive Office,1.9,97,14,10,61,800000,32,68,10,84,39,79
POI_00081,On Travel Agency - Auckland,New Zealand,Historical,-36.812391,174.75434,Travel Agency,5.8,88,15,9,52,800000,61,63,8,67,178,55
POI_00082,Travelzoo Booking Office - Melbourne,Australia,Historical,-37.81569,144.979056,Booking Office,2.6,80,57,63,44,800000,43,51,9,75,45,55
POI_00083,Travelzoo Booking Office - Hong Kong,Hong Kong,Suburban,22.35925,114.192032,Booking Office,3.7,86,64,63,47,800000,30,73,10,64,97,72
POI_00084,Travelzoo Travel Agency - Dubai,UAE,Island,25.228604,55.231745,Travel Agency,9.3,92,59,53,56,800000,65,66,15,61,96,63
POI_00085,Secret Travel Agency - United States,United States,Urban,39.797548,-100.489817,Travel Agency,8.7,87,22,21,71,468400,48,72,17,79,22,66
POI_00086,Luxury Resort - United Kingdom,United Kingdom,Metropolitan,54.686302,-3.30808,Resort,78.6,100,20,12,70,800000,30,78,8,69,40,95
POI_00087,Scenic Marina - Mumbai,India,Coastal,19.115272,72.914531,Marina,9.6,100,40,59,67,800000,71,62,17,68,91,69
POI_00088,Scenic Cruise Port - Sydney,Australia,Coastal,-33.852714,151.167804,Cruise Port,214.7,100,60,26,63,800000,67,58,14,76,84,66
POI_00089,Emerald Beach Resort - Cancun,Mexico,Coastal,21.153657,-86.807695,Beach Resort,81.4,83,69,98,47,800000,72,53,13,74,94,65
POI_00090,Emerald Resort Hotel - Cancun,Mexico,Coastal,21.135371,-86.835071,Resort Hotel,112.6,100,77,58,61,800000,80,65,24,76,233,60
POI_00091,Avalon Booking Office - Kyoto,Japan,Historical,34.995903,135.729824,Booking Office,1.4,100,27,11,68,800000,45,58,10,69,46,71
POI_00092,Avalon Travel Agency - Shanghai,China,Rural,31.242379,121.467649,Travel Agency,3.6,100,91,102,58,800000,36,70,17,67,106,67
POI_00093,Viking Cruise Terminal - Tokyo,Japan,Metropolitan,35.657223,139.622353,Cruise Terminal,73.2,97,15,22,69,800000,42,87,8,90,165,91
POI_00094,Crystal Port - New York,United States,Metropolitan,40.742921,-74.031621,Port,5.0,90,34,38,84,800000,52,69,16,63,159,74
POI_00095,Regent Business Center - Singapore,Singapore,Metropolitan,1.333923,103.817666,Business Center,8.4,98,19,15,65,800000,58,77,12,91,159,90
POI_00096,Regent Tourist Info - Tokyo,Japan,Metropolitan,35.641068,139.684135,Tourist Info,8.5,97,24,32,69,800000,33,74,13,82,163,93
POI_00097,Regent Tech Hub - Venice,Italy,Historical,45.465918,12.304332,Tech Hub,8.5,88,45,60,57,800000,61,54,14,63,127,60
POI_00098,Seabourn Visitor Center - United States,United States,Mountain,39.788639,-100.420523,Visitor Center,8.0,100,119,73,63,800000,86,68,14,75,138,58
POI_00099,Seabourn Visitor Center - Paris,France,Coastal,48.843531,2.360744,Visitor Center,10.8,86,50,68,60,800000,85,63,12,77,43,60
POI_00100,Club Executive Office - United States,United States,Urban,39.812239,-100.408057,Executive Office,3.0,100,31,40,63,800000,36,64,8,71,52,75
POI_00101,Sandals Luxury Hotel - Tokyo,Japan,Metropolitan,35.683591,139.644234,Luxury Hotel,53.7,92,10,7,75,800000,61,68,24,94,38,94
POI_00102,Beaches Business Hotel - Barcelona,Spain,Metropolitan,41.340208,2.149115,Business Hotel,118.2,100,30,19,73,800000,53,82,24,79,36,93
POI_00103,RIU Spa Resort - Toronto,Canada,Island,43.657057,-79.358131,Spa Resort,58.3,100,35,20,67,800000,68,68,12,72,196,68
POI_00104,RIU Business Hotel - Prague,Czech Republic,Historical,50.102135,14.462866,Business Hotel,32.4,91,49,67,69,800000,59,72,24,81,97,59
POI_00105,Atlantis Resort Hotel - Auckland,New Zealand,Urban,-36.843505,174.767086,Resort Hotel,60.4,96,28,16,68,800000,64,66,24,69,137,63
POI_00106,Atlantis Resort - Sydney,Australia,Coastal,-33.90104,151.245955,Resort,54.1,83,73,30,56,800000,70,69,16,89,162,57
POI_00107,Atlantis Beach Resort - Cancun,Mexico,Coastal,21.136294,-86.845912,Beach Resort,63.9,91,91,107,69,800000,80,63,8,71,263,67
POI_00108,Four Business Hotel - Bali,Indonesia,Coastal,-8.384297,115.082497,Business Hotel,89.9,88,44,24,60,800000,83,51,24,68,33,60
POI_00109,Ritz-Carlton Tourist Info - United States,United States,Rural,39.819392,-100.428213,Tourist Info,7.5,92,65,78,49,800000,43,72,15,71,27,71
POI_00110,Ritz-Carlton Nature Reserve - Berlin,Germany,Mountain,52.516745,13.367271,Nature Reserve,9.4,100,102,92,56,800000,63,62,13,74,88,66
POI_00111,Mandarin Tour Office - Prague,Czech Republic,Historical,50.072386,14.395502,Tour Office,3.2,79,16,15,45,800000,43,65,9,60,103,65
POI_00112,Aman Business Hotel - Rome,Italy,Historical,41.876557,12.516976,Business Hotel,28.8,76,28,26,50,800000,46,57,24,76,70,63
POI_00113,Aman Mountain Resort - London,United Kingdom,Metropolitan,51.478913,-0.16711,Mountain Resort,32.7,89,20,10,59,800000,37,70,14,67,276,96
POI_00114,Six Spa Resort - France,France,Coastal,46.635933,1.849162,Spa Resort,82.9,83,44,42,68,800000,85,48,12,67,184,76
POI_00115,Rosewood Luxury Hotel - Vienna,Austria,Historical,48.249647,16.393379,Luxury Hotel,41.4,90,44,18,63,800000,41,48,24,81,69,58
POI_00116,Belmond Wildlife Center - New York,United States,Metropolitan,40.750643,-74.037501,Wildlife Center,9.7,90,33,20,79,800000,33,64,13,66,107,79
POI_00117,Soneva Hotel - France,France,Coastal,46.592095,1.88676,Hotel,56.4,100,47,25,63,800000,74,48,24,75,60,69
POI_00118,Soneva Tourist Info - Venice,Italy,Urban,45.474671,12.33466,Tourist Info,5.6,100,26,38,65,800000,53,65,15,77,71,64
POI_00119,One&Only Luxury Hotel - Bangkok,Thailand,Historical,13.777302,100.46025,Luxury Hotel,36.0,100,58,50,65,800000,62,73,24,75,65,70
POI_00120,One&Only Spa Resort - Las Vegas,United States,Mountain,36.171807,-115.14208,Spa Resort,78.4,85,43,22,64,800000,65,69,12,68,191,67
POI_00121,One&Only Business Hotel - Vienna,Austria,Island,48.236429,16.342567,Business Hotel,82.5,100,35,31,50,650529,80,73,24,83,104,60
POI_00122,Jumeirah Tourist Office - Amsterdam,Netherlands,Urban,52.363364,4.895322,Tourist Office,1.5,90,41,44,76,800000,53,79,8,83,73,64
POI_00123,Jumeirah Business Center - Auckland,New Zealand,Coastal,-36.886228,174.720211,Business Center,5.2,100,77,38,60,800000,64,49,12,80,147,62
POI_00124,Fairmont Beach Resort - Miami,United States,Coastal,25.771527,-80.219704,Beach Resort,106.9,100,30,22,44,800000,74,49,17,69,429,56
POI_00125,Shangri-La Resort - Bali,Indonesia,Coastal,-8.3003,115.122956,Resort,114.7,87,65,53,65,800000,65,67,8,78,169,65
POI_00126,Shangri-La Hotel - Rio de Janeiro,Brazil,Rural,-22.920867,-43.155472,Hotel,105.2,97,41,50,53,800000,63,59,24,65,159,62
POI_00127,Peninsula Luxury Hotel - France,France,Historical,46.56998,1.926593,Luxury Hotel,41.8,100,50,72,54,800000,62,63,24,76,62,69
POI_00128,Peninsula Mountain Resort - Vienna,Austria,Mountain,48.219012,16.33824,Mountain Resort,53.1,98,39,30,44,800000,70,48,12,76,382,63
POI_00129,Banyan Luxury Hotel - Shanghai,China,Urban,31.24539,121.430646,Luxury Hotel,77.6,80,50,24,74,585046,53,79,24,80,36,74
POI_00130,Banyan Luxury Hotel - Bangkok,Thailand,Suburban,13.766593,100.486503,Luxury Hotel,24.3,89,54,59,52,800000,60,63,24,68,21,61
POI_00131,Anantara Resort - Kyoto,Japan,Historical,35.04766,135.76703,Resort,98.7,77,52,73,69,800000,45,64,15,61,404,62
POI_00132,Minor Luxury Hotel - Vienna,Austria,Island,48.233455,16.389355,Luxury Hotel,93.5,100,45,37,49,800000,70,54,24,84,82,53
POI_00133,Centara Resort Hotel - London,United Kingdom,Metropolitan,51.541296,-0.142365,Resort Hotel,50.4,93,24,33,64,800000,51,84,24,80,150,87
POI_00134,Centara Mountain Resort - Kyoto,Japan,Historical,34.984839,135.778417,Mountain Resort,114.4,82,58,50,60,800000,36,74,13,77,285,76
POI_00135,Marriott Booking Office - Rio de Janeiro,Brazil,Island,-22.941064,-43.173537,Booking Office,2.2,81,72,67,49,800000,85,66,8,80,82,70
POI_00136,Marriott Adventure Center - Venice,Italy,Metropolitan,45.475002,12.320822,Adventure Center,9.8,97,13,11,63,800000,34,67,15,74,99,78
POI_00137,Hilton Corporate Lounge - France,France,Island,46.586206,1.9071,Corporate Lounge,9.5,77,98,96,66,800000,83,70,11,71,126,67
POI_00138,Hilton Tourist Office - Tokyo,Japan,Metropolitan,35.714122,139.617419,Tourist Office,1.8,100,12,5,61,800000,46,63,9,96,102,89
POI_00139,InterContinental Resort - Shanghai,China,Metropolitan,31.216146,121.504017,Resort,37.5,100,16,21,84,800000,63,82,16,73,144,76
POI_00140,Wyndham Spa Resort - Rio de Janeiro,Brazil,Mountain,-22.895276,-43.192034,Spa Resort,98.9,100,58,70,48,800000,79,72,17,63,91,63
POI_00141,Wyndham Resort Hotel - United States,United States,Urban,39.796314,-100.422314,Resort Hotel,53.5,91,40,55,80,800000,45,82,24,62,46,67
POI_00142,Accor Corporate Office - Miami,United States,Coastal,25.719921,-80.170887,Corporate Office,2.2,100,105,55,47,800000,87,68,9,63,162,66
POI_00143,Accor Corporate Lounge - United States,United States,Metropolitan,39.793317,-100.425441,Corporate Lounge,9.4,80,16,8,73,800000,45,82,17,64,26,95
POI_00144,Best Business Hotel - Bali,Indonesia,Coastal,-8.379564,115.082222,Business Hotel,43.9,88,85,123,59,800000,89,67,24,76,21,63
POI_00145,Best Spa Resort - Seoul,South Korea,Urban,37.572635,126.984518,Spa Resort,61.3,96,47,48,60,800000,32,66,9,78,383,71
POI_00146,Hyatt Beach Resort - Tokyo,Japan,Metropolitan,35.648131,139.665284,Beach Resort,91.7,97,11,6,76,800000,40,82,15,83,433,82
POI_00147,Hyatt Hotel - Bangkok,Thailand,Metropolitan,13.779174,100.510659,Hotel,89.8,87,13,16,75,800000,44,63,24,66,108,92
POI_00148,Hyatt Mountain Resort - Las Vegas,United States,Metropolitan,36.189493,-115.140789,Mountain Resort,67.7,90,34,29,79,800000,38,83,12,62,435,89
POI_00149,Radisson Mountain Resort - San Francisco,United States,Coastal,37.80583,-122.417193,Mountain Resort,101.1,97,33,15,51,800000,76,60,8,65,449,73
POI_00150,Choice Luxury Hotel - Toronto,Canada,Island,43.666637,-79.398527,Luxury Hotel,92.4,74,49,28,62,800000,79,64,24,63,90,69
POI_00151,Expedia Resort - France,France,Island,46.629009,1.909911,Resort,48.4,79,68,98,44,800000,63,50,16,74,438,55
POI_00152,Expedia Resort Hotel - Rome,Italy,Historical,41.909094,12.493145,Resort Hotel,120.0,97,43,33,43,800000,45,60,24,66,146,56
POI_00153,Booking Business Hotel - France,France,Urban,46.619708,1.916046,Business Hotel,108.2,100,51,60,61,800000,57,65,24,78,97,61
POI_00154,Booking Tour Office - Rome,Italy,Historical,41.905698,12.505217,Tour Office,3.7,100,44,29,60,800000,42,52,8,70,167,73
POI_00155,Airbnb Cruise Port - New York,United States,Metropolitan,40.692275,-73.961278,Cruise Port,177.3,93,36,32,59,800000,40,67,12,78,34,92
POI_00156,Airbnb Visitor Center - Tokyo,Japan,Metropolitan,35.669566,139.675236,Visitor Center,10.4,100,37,18,62,800000,54,63,12,91,96,75
POI_00157,Airbnb Travel Agency - Athens,Greece,Historical,38.014315,23.730802,Travel Agency,6.8,94,31,37,48,800000,58,69,8,64,84,62
POI_00158,TripAdvisor Port - France,France,Metropolitan,46.582108,1.87939,Port,11.8,81,10,12,62,800000,40,83,17,78,141,90
POI_00159,Carnival Cruise Port - Barcelona,Spain,Historical,41.361164,2.189007,Cruise Port,94.4,80,34,50,51,800000,55,49,10,63,79,75
POI_00160,Carnival Destination Office - Bali,Indonesia,Coastal,-8.302442,115.097307,Destination Office,3.9,100,119,105,58,800000,75,60,10,64,166,62
POI_00161,Carnival Resort - Hong Kong,Hong Kong,Mountain,22.36236,114.1417,Resort,102.9,100,58,68,69,800000,89,69,14,74,80,66
POI_00162,Royal Business Center - Cancun,Mexico,Coastal,21.141863,-86.832322,Business Center,7.0,87,93,48,43,800000,73,73,12,68,172,60
POI_00163,Royal Tour Office - United States,United States,Island,39.765502,-100.404927,Tour Office,3.8,82,70,101,54,800000,77,66,9,64,36,63
POI_00164,Norwegian Port - United States,United States,Rural,39.804353,-100.403126,Port,5.2,84,78,37,50,800000,46,56,16,81,103,61
POI_00165,TUI Nature Reserve - France,France,Suburban,46.616079,1.874937,Nature Reserve,7.2,83,89,79,61,800000,59,58,12,68,58,60
POI_00166,TUI Visitor Center - Hong Kong,Hong Kong,Rural,22.295566,114.176776,Visitor Center,9.1,95,79,90,69,800000,41,58,17,72,158,58
POI_00167,Thomas Cruise Terminal - London,United Kingdom,Metropolitan,51.53417,-0.165648,Cruise Terminal,202.0,100,39,34,59,800000,40,77,12,69,85,95
POI_00168,Thomas Resort Hotel - United States,United States,Rural,39.77298,-100.440296,Resort Hotel,119.8,96,110,76,64,800000,54,50,24,64,287,67
POI_00169,G Booking Office - Rio de Janeiro,Brazil,Urban,-22.914316,-43.137302,Booking Office,3.7,92,29,26,71,800000,47,70,9,68,129,67
POI_00170,G Conservation Area - New York,United States,Metropolitan,40.74122,-74.022347,Conservation Area,4.0,99,39,48,75,800000,60,64,16,77,162,95
POI_00171,Intrepid Corporate Office - United States,United States,Rural,39.759898,-100.48893,Corporate Office,3.8,80,75,80,60,800000,61,56,11,77,28,56
POI_00172,Intrepid Travel Agency - United States,United States,Historical,39.798677,-100.476503,Travel Agency,10.2,100,38,27,54,800000,32,72,12,69,98,62
POI_00173,Intrepid Resort Hotel - Singapore,Singapore,Metropolitan,1.356625,103.782888,Resort Hotel,35.5,100,29,21,84,800000,40,75,24,95,220,81
POI_00174,Abercrombie Business Center - United States,United States,Suburban,39.779658,-100.478929,Business Center,9.2,82,36,44,67,800000,62,71,13,61,127,70
POI_00175,Abercrombie Booking Office - United States,United States,Historical,39.806353,-100.430425,Booking Office,2.1,87,38,44,58,800000,60,73,10,71,134,72
POI_00176,Trafalgar Visitor Center - United Kingdom,United Kingdom,Suburban,54.74705,-3.29358,Visitor Center,11.5,88,46,51,45,800000,39,68,13,75,105,72
POI_00177,Contiki Business Center - Seoul,South Korea,Island,37.559717,126.981106,Business Center,9.0,82,54,78,63,800000,62,65,12,60,27,63
POI_00178,Contiki Booking Office - Seoul,South Korea,Rural,37.599534,127.001257,Booking Office,1.1,100,97,43,63,800000,54,57,8,76,141,53
POI_00179,Contiki Business Center - United States,United States,Rural,39.802136,-100.436211,Business Center,7.6,90,40,19,48,800000,38,61,16,69,120,58
POI_00180,Insight Outdoor Recreation - United Kingdom,United Kingdom,Suburban,54.701564,-3.253872,Outdoor Recreation,6.9,90,70,84,47,800000,58,67,16,79,69,56
POI_00181,Insight Executive Office - France,France,Historical,46.604106,1.881787,Executive Office,2.8,100,38,56,67,800000,33,64,11,74,114,68
POI_00182,Collette Tour Office - San Francisco,United States,Suburban,37.803674,-122.395728,Tour Office,3.7,100,59,53,60,800000,43,54,10,76,69,60
POI_00183,Tauck Mountain Resort - Los Angeles,United States,Mountain,34.057919,-118.286223,Mountain Resort,67.7,100,71,46,43,800000,78,61,15,68,129,60
POI_00184,Globus Corporate Office - France,France,Metropolitan,46.615739,1.876936,Corporate Office,3.5,82,17,13,61,800000,46,89,11,71,152,82
