POI_ID,Common_Travel_Partner,Total_Visitors,Dominant_Age_Group,Origin_Country,Average_Sentiment_Score,Average_Rating,Reviews,Avg_spend_per_head,Accesebility_index,Travel_mode,time_spent,Overall_experience
POI_00188,Solo,1,26-35,Japan,9.1,9.8,Breathtaking views,745.32,7,Flight,240 mins,9.7
POI_00189,Friends,4,36-45,Australia,7.8,7.1,Highly recommended destination,515.37,4.4,Car,30 mins,7
POI_00190,Friends,3,18-25,Japan,8.4,8.6,Peaceful and relaxing atmosphere,370.87,8.5,Flight,72 hours,9.2
POI_00191,Solo,1,46-55,South Korea,10,9.5,Amazing experience with great service,656.78,8.4,Flight,240 mins,10
POI_00192,Friends,3,46-55,United States,6.6,6.1,Good value for money,401.12,4.5,Cruise,180 mins,6.2
POI_00193,Family,3,56-65,Canada,8.6,8.7,Could be better maintained,386.38,4.6,Flight,24 hours,8.2
POI_00194,Couple,2,36-45,South Korea,7.5,7.1,Excellent facilities and staff,297.24,3.6,Cruise,90 mins,6.8
POI_00195,Friends,4,65+,Canada,8.1,7.9,Beautiful location but crowded,463.32,7.3,Flight,30 mins,7.6
POI_00196,Couple,2,65+,United Kingdom,6.2,6.2,Peaceful and relaxing atmosphere,167.05,6.2,Car,180 mins,5.7
POI_00197,Solo,1,56-65,Australia,8.2,8,Beautiful location but crowded,393.4,4,Flight,48 hours,8.3
POI_00198,Solo,1,46-55,China,7.4,8.1,Excellent facilities and staff,99.83,4.4,Flight,96 hours,7.9
POI_00199,Family,3,56-65,France,8.6,8.3,Breathtaking views,199.29,4.8,Flight,120 mins,8.8
POI_00200,Friends,6,26-35,Canada,8,8.8,Highly recommended destination,120.01,6.8,Flight,60 mins,9.6
POI_00201,Friends,7,26-35,India,9.4,8.9,Highly recommended destination,596.64,4.8,Car,240 mins,8.6
POI_00202,Couple,2,18-25,France,8.7,8.2,Breathtaking views,451.41,6.3,Car,72 hours,8.1
POI_00203,Family,3,18-25,France,5.9,6.2,Peaceful and relaxing atmosphere,440.35,3.8,Car,180 mins,5.8
POI_00204,Friends,4,26-35,Canada,7.1,6.7,Highly recommended destination,300.65,5.2,Bus,120 mins,6.9
POI_00205,Family,3,36-45,South Korea,10,10,Highly recommended destination,239.68,8.4,Car,120 mins,10
POI_00206,Friends,3,36-45,Germany,6.9,7,Good value for money,426.31,6.1,Flight,120 hours,7.5
POI_00207,Friends,4,26-35,Australia,8.2,7.5,Amazing experience with great service,530.19,5.9,Cruise,90 mins,6.8
POI_00208,Friends,6,65+,Australia,8.5,7.9,Breathtaking views,312.21,5,Train,240 mins,8.5
POI_00209,Couple,2,46-55,United States,9,9.6,Excellent facilities and staff,520.41,8.3,Car,180 mins,9.8
POI_00210,Family,5,18-25,Canada,9,9.6,Beautiful location but crowded,748.78,5.7,Flight,180 mins,9.1
POI_00211,Friends,5,18-25,United Kingdom,7.5,7,Breathtaking views,322.26,4.8,Car,48 hours,6.9
POI_00212,Solo,1,46-55,France,6.6,6.7,Perfect for families,188.06,5.6,Car,180 mins,7.3
POI_00213,Friends,6,65+,China,7.1,6.5,Perfect for families,172.4,3.5,Flight,240 mins,6.4
POI_00214,Friends,5,36-45,Canada,7.8,7.3,Highly recommended destination,200.09,5.9,Flight,30 mins,7.2
POI_00215,Solo,1,26-35,France,6.3,6.7,Good value for money,412.37,5.6,Cruise,24 hours,6.1
POI_00216,Friends,7,18-25,China,9.4,9.2,Could be better maintained,224.56,5.1,Flight,60 mins,9.9
POI_00217,Family,3,18-25,United States,8.8,8.1,Perfect for families,150.24,5.9,Flight,30 mins,7.4
POI_00218,Family,3,36-45,Japan,7.3,8,Breathtaking views,632.51,7.9,Bus,60 mins,7.4
POI_00219,Couple,2,56-65,Australia,10,9.8,Unforgettable memories created,409.95,7.4,Flight,240 mins,10
POI_00220,Couple,2,26-35,United Kingdom,8.1,8.7,Beautiful location but crowded,274.53,7.4,Train,120 hours,7.9
POI_00221,Friends,6,56-65,Germany,9.1,9.9,Could be better maintained,406.52,9.2,Flight,180 mins,10
POI_00222,Couple,2,26-35,Canada,9.4,8.8,Peaceful and relaxing atmosphere,508.88,6.6,Flight,120 mins,9.6
POI_00223,Family,5,65+,United States,7.5,8.3,Could be better maintained,483.62,7,Train,90 mins,9
POI_00224,Couple,2,18-25,Canada,8.4,8.6,Perfect for families,150.17,7.1,Flight,180 mins,8.9
POI_00225,Family,3,65+,Australia,9.7,9.9,Peaceful and relaxing atmosphere,641.19,7.8,Bus,120 mins,10
POI_00226,Family,5,26-35,Australia,7.3,7.6,Could be better maintained,505.77,6.7,Bus,30 mins,7.9
POI_00227,Couple,2,46-55,India,8.2,7.7,Perfect for families,370.48,3.9,Car,180 mins,7.1
POI_00228,Family,4,65+,France,7.9,7.6,Amazing experience with great service,314.71,4.7,Flight,240 mins,7.4
POI_00229,Friends,4,36-45,United States,6.4,6.3,Unforgettable memories created,336.2,4.6,Flight,240 mins,6.5
POI_00230,Solo,1,56-65,Canada,9.5,9.5,Peaceful and relaxing atmosphere,112.05,6.4,Flight,48 hours,9.5
POI_00231,Family,4,26-35,Germany,8.4,8.3,Unforgettable memories created,527.4,7.5,Flight,90 mins,8.5
POI_00232,Couple,2,65+,China,8.9,9.8,Amazing experience with great service,103.19,8.1,Bus,90 mins,9.2
POI_00233,Friends,4,18-25,India,8.8,9.7,Perfect for families,335.75,5.3,Car,240 mins,10
POI_00234,Couple,2,18-25,France,6.7,7,Perfect for families,463.48,5.4,Car,240 mins,6.7
POI_00235,Friends,6,26-35,Germany,8.5,8.9,Excellent facilities and staff,164.94,5.3,Flight,180 mins,8.7
POI_00236,Family,3,56-65,South Korea,8.4,8.1,Peaceful and relaxing atmosphere,402.67,5.1,Car,60 mins,7.5
POI_00237,Family,4,46-55,France,9.3,9.2,Perfect for families,499.75,9,Bus,30 mins,8.4
POI_00238,Friends,7,18-25,United Kingdom,9,9.5,Good value for money,501.3,6.7,Train,240 mins,9
POI_00239,Friends,7,56-65,Japan,7,7.4,Beautiful location but crowded,216.35,6.7,Car,120 mins,7.8
POI_00240,Solo,1,36-45,South Korea,8,8.7,Beautiful location but crowded,362.13,6.9,Train,120 mins,8.9
POI_00241,Family,5,65+,France,9,9.5,Unforgettable memories created,110.72,7.8,Flight,120 mins,8.7
POI_00242,Family,4,18-25,Germany,6.7,6.9,Could be better maintained,308.94,6.9,Cruise,30 mins,7
POI_00243,Family,5,56-65,Germany,7.5,7.6,Beautiful location but crowded,444.38,7.6,Flight,240 mins,7.9
POI_00244,Friends,3,65+,France,9,8.9,Breathtaking views,138.48,4.8,Flight,30 mins,8.5
