POI_ID,POI_Name,Country,Region_type,POI_Latitude,POI_Longitude,POI_Type_Detailed,Time_To_Visit,Family_Friendly_Index,Transit_Time(in mins),Local_Transfer(USD),Accessebility_Value,Visitor_Volume(in thousands),Seasonality_Index,Food_Index,Operating_Hours,Safety_Index,Cost_of_POI,Connectivity_index
POI_00095,Bangkok Nature Park,Thailand,Urban,13.754859,100.454554,Nature Park,Summer Season,7.9,55,No,4.2,2088.7,6.6,4.1,6:00 AM - 19:00 PM,7.2,256.34,5.7
POI_00096,Paris Cultural Center,France,Historical,48.822015,2.357571,Cultural Center,July-September,7.2,102,No,5.9,1403.2,4.2,5.2,8:00 AM - 19:00 PM,5.6,75.94,6
POI_00097,Phuket Theme Park,Thailand,Coastal,7.887338,98.404366,Theme Park,April-June,4.7,19,No,5,205.9,6.9,6.5,6:00 AM - 20:00 PM,6,290.02,6.4
POI_00098,Phuket Nature Park,Thailand,Coastal,7.867933,98.370878,Nature Park,Winter Season,6,55,Yes,5.1,2909.5,8,5.4,8:00 AM - 18:00 PM,6.4,491.33,5.2
POI_00099,Istanbul Art Gallery,Turkey,Historical,41.020859,29.021038,Art Gallery,Winter Season,4.5,87,No,5.3,570.4,7.2,4.1,8:00 AM - 18:00 PM,5.6,175.44,4.2
POI_00100,Los Angeles Beach Resort,United States,Urban,34.078812,-118.209108,Beach Resort,October-December,4.6,66,Yes,4.6,4666,4.6,6,24 Hours,5.3,206.97,5.5
POI_00101,Maldives Scenic Viewpoint,Maldives,Island,3.182329,73.193938,Scenic Viewpoint,Summer Season,6.4,112,No,5,1394,7.9,4.4,24 Hours,6.1,490.54,6
POI_00102,Bangkok Theme Park,Thailand,Urban,13.786696,100.50705,Theme Park,April-June,4.6,96,No,5.1,6243.7,5,5.2,9:00 AM - 20:00 PM,5.3,333.3,5
POI_00103,Istanbul Scenic Viewpoint,Turkey,Historical,40.968389,28.964423,Scenic Viewpoint,January-March,6.5,47,No,6.4,1665.9,6.6,4.9,10:00 AM - 22:00 PM,7,90.18,6.2
POI_00104,Maldives Mountain Resort,Maldives,Island,3.163336,73.248882,Mountain Resort,January-March,4.5,52,Yes,8.4,10579.1,5,6.2,24 Hours,6.7,144,6.4
POI_00105,Maldives Museum,Maldives,Island,3.16646,73.235864,Museum,Summer Season,5.9,82,Yes,6.3,694.9,9.6,5.8,8:00 AM - 17:00 PM,6.7,76.14,5.8
POI_00106,Bali Wildlife Sanctuary,Indonesia,Island,-8.34409,115.13835,Wildlife Sanctuary,Winter Season,6.8,47,Yes,7.2,6290.9,9.1,6.2,10:00 AM - 22:00 PM,8,106.5,4.9
POI_00107,Bali Theme Park,Indonesia,Island,-8.293081,115.126706,Theme Park,January-March,5.8,97,No,5.4,60.1,4.2,3.3,8:00 AM - 18:00 PM,4.2,160.97,4.8
POI_00108,Bangkok Museum,Thailand,Urban,13.72038,100.514041,Museum,Summer Season,7.2,30,Yes,8.2,666,8.5,6.3,24 Hours,7.9,166.96,6.7
POI_00109,New York Scenic Viewpoint,United States,Urban,40.71286,-73.988038,Scenic Viewpoint,Year-Round,4,99,No,4.6,68,3.2,3.7,7:00 AM - 21:00 PM,4.9,144.13,3.9
POI_00110,Barcelona Food Market,Spain,Coastal,41.3788,2.182756,Food Market,July-September,5.1,118,Yes,3.7,18734.4,6.2,6,10:00 AM - 18:00 PM,6.2,482.06,5.1
POI_00111,London Mountain Resort,United Kingdom,Historical,51.493103,-0.085181,Mountain Resort,Year-Round,5.6,38,No,4.6,4160.1,3.4,4.9,24 Hours,4.2,266.4,6
POI_00112,Paris Theme Park,France,Historical,48.842312,2.380955,Theme Park,October-December,5.5,52,No,5.8,6090.5,4,4.2,6:00 AM - 19:00 PM,6.8,95.81,5.6
POI_00113,Bangkok Archaeological Site,Thailand,Urban,13.741605,100.541209,Archaeological Site,Spring-Fall,9.3,59,Yes,8.7,1700.1,3.8,7.8,6:00 AM - 17:00 PM,6.6,199.2,9.2
POI_00114,Maldives Wildlife Sanctuary,Maldives,Island,3.206709,73.198947,Wildlife Sanctuary,April-June,4,28,Yes,6.8,12.6,3,5.5,24 Hours,6.2,74.59,7.6
POI_00115,Paris Religious Site,France,Historical,48.83913,2.373462,Religious Site,July-September,5.5,53,No,8.8,1131.3,5.4,7.7,9:00 AM - 17:00 PM,5.9,295.02,8.2
POI_00116,Rome Historical Monument,Italy,Historical,41.946092,12.529151,Historical Monument,Winter Season,7.5,63,No,8.5,22152.8,8.8,7.6,24 Hours,8.3,173.33,8.1
POI_00117,Maldives Religious Site,Maldives,Island,3.226244,73.209136,Religious Site,April-June,5.6,16,No,5.2,1661.2,3.9,5.2,24 Hours,5.7,295.89,6
POI_00118,Maldives Mountain Resort,Maldives,Island,3.239941,73.23797,Mountain Resort,July-September,5.8,80,Yes,7.2,5425.2,6.3,8.8,24 Hours,5.6,353.31,5.7
POI_00119,Los Angeles Shopping District,United States,Urban,34.007859,-118.256308,Shopping District,Spring-Fall,8,85,No,8,1703,6,5.4,24 Hours,7,174.34,7.6
POI_00120,London Shopping District,United Kingdom,Historical,51.477933,-0.129496,Shopping District,Spring-Fall,4.6,83,No,7,289.6,5.4,3.8,24 Hours,4.5,478.14,5.1
POI_00121,London Food Market,United Kingdom,Historical,51.54401,-0.083127,Food Market,July-September,3.7,114,No,5.6,1382.1,5.4,5.4,8:00 AM - 17:00 PM,5.6,233.67,3.9
POI_00122,Phuket Scenic Viewpoint,Thailand,Coastal,7.905238,98.433755,Scenic Viewpoint,January-March,4.8,60,No,6.6,3476.7,3,6.1,24 Hours,6.5,336.96,5.4
POI_00123,Phuket Beach Resort,Thailand,Coastal,7.897687,98.350415,Beach Resort,Spring-Fall,9,99,Yes,8.9,3273.9,3.8,7.9,24 Hours,8.8,382.06,7.9
POI_00124,Istanbul Theme Park,Turkey,Historical,41.028746,28.97116,Theme Park,Summer Season,6.4,113,No,4.1,7083.8,9.3,5,6:00 AM - 21:00 PM,6.1,59.86,5.6
POI_00125,Paris Shopping District,France,Historical,48.873022,2.390369,Shopping District,April-June,7.8,26,No,6,544.4,5.1,7.1,24 Hours,6.9,209.21,8.7
POI_00126,London Scenic Viewpoint,United Kingdom,Historical,51.543282,-0.110106,Scenic Viewpoint,July-September,8.7,93,No,6.8,812.4,5.4,5.5,24 Hours,8.2,130.66,8.2
POI_00127,Los Angeles Mountain Resort,United States,Urban,34.037627,-118.283165,Mountain Resort,Summer Season,5.2,78,Yes,4.3,1652.1,6.9,4.2,24 Hours,6.8,327.34,5.7
POI_00128,Istanbul Beach Resort,Turkey,Historical,40.96992,28.962121,Beach Resort,April-June,5.6,36,Yes,4.6,808.4,6.6,4,24 Hours,5.3,238.67,4
POI_00129,Dubai Scenic Viewpoint,UAE,Urban,25.188163,55.299956,Scenic Viewpoint,Spring-Fall,4.6,104,No,7.3,700.3,4.6,7,24 Hours,7.5,141.56,4.9
POI_00130,London Wildlife Sanctuary,United Kingdom,Historical,51.479411,-0.142748,Wildlife Sanctuary,July-September,4,53,Yes,5.5,2032.5,5.9,6.2,8:00 AM - 22:00 PM,6.6,53.76,5.2
POI_00131,Dubai Art Gallery,UAE,Urban,25.168832,55.287916,Art Gallery,July-September,7.4,32,Yes,5.1,3953.5,6.6,7.5,24 Hours,7.1,344.36,8.1
POI_00132,Bali Cultural Center,Indonesia,Island,-8.371708,115.049697,Cultural Center,Winter Season,6.1,101,Yes,7.3,5255,9.2,5.6,9:00 AM - 22:00 PM,7.7,168.83,8.6
POI_00133,Barcelona Mountain Resort,Spain,Coastal,41.404995,2.160235,Mountain Resort,Spring-Fall,4,42,No,4,1393.6,5.2,4,24 Hours,6.7,195.36,7.4
POI_00134,Phuket Shopping District,Thailand,Coastal,7.916202,98.442063,Shopping District,July-September,3.6,58,No,4,4361.8,3.1,4.8,10:00 AM - 21:00 PM,6.4,304.78,5.1
POI_00135,Dubai Wildlife Sanctuary,UAE,Urban,25.212895,55.319868,Wildlife Sanctuary,Winter Season,6.5,89,No,6.3,5678.5,9.7,8.7,7:00 AM - 18:00 PM,6.6,287.45,6.2
POI_00136,Barcelona Historical Monument,Spain,Coastal,41.404188,2.193114,Historical Monument,April-June,5.5,31,No,7,314.3,5.4,5.1,10:00 AM - 20:00 PM,7.6,254.83,7.5
POI_00137,Los Angeles Historical Monument,United States,Urban,34.059461,-118.265999,Historical Monument,April-June,7.7,77,No,6.6,861.3,5.4,9.1,7:00 AM - 19:00 PM,9.2,346.57,6.6
POI_00138,Tokyo Wildlife Sanctuary,Japan,Urban,35.659728,139.607002,Wildlife Sanctuary,April-June,9,104,No,9.6,2360.1,3.3,6.9,10:00 AM - 20:00 PM,6.2,144.86,6.8
POI_00139,Singapore Beach Resort,Singapore,Urban,1.315068,103.795446,Beach Resort,October-December,6.2,21,No,4.5,1248.6,4.4,6.9,24 Hours,4.9,87.23,5.9
POI_00140,Dubai Beach Resort,UAE,Urban,25.237038,55.226498,Beach Resort,Summer Season,5.6,91,No,6.1,3777.2,8.7,6.8,24 Hours,7.3,191.24,6.3
POI_00141,Barcelona Archaeological Site,Spain,Coastal,41.367923,2.168799,Archaeological Site,January-March,5.1,35,No,8.8,3974.1,5.3,6.7,8:00 AM - 22:00 PM,7.7,153.42,7.4
POI_00142,Maldives Religious Site,Maldives,Island,3.1671,73.208155,Religious Site,January-March,6.3,24,No,7.2,417.4,6.4,8.3,7:00 AM - 21:00 PM,6.2,352.74,6.3
