POI_ID,Company_ID,Company_Name,HQ_Country,Service_Type,FY_Year,Total_Customers_To_POI,Active_Tourists,Avg_Customer_Rating,Revenue(USD),Marketing_Expenditure_USD,Avg_Booking_Value,Destinations_Preference_Index,Tech_Adaptability_index,Digital_Channel_Share,Customer_Retention,Avg_Trip_Cost_USD,Commission,CSR_Focus_index,Reviews,Booking_Platforms
POI_00011,COMP_0023,Norwegian Cruise Line,United Kingdom,Hotel Chain,2021,849115,748625,8.4,377697.36,58606.34,3.9,4.8,6.3,0.99,0.58,633.13,436303.7,7,Unforgettable experience with lasting memories,Booking.com
POI_00012,COMP_0028,Trafalgar Tours,Japan,Hotel Chain,2023,2684936,2167159,8.5,280441.88,37572.02,3.1,7.8,5.6,0.43,0.52,574.3,318013.9,6.8,Highly recommended for first-time visitors,Direct Website
POI_00013,COMP_0021,Carnival Corporation,Singapore,Resort,2022,5471543,4855152,8.6,299840.37,53805.63,3.4,5.8,4.8,0.95,0.78,2247.96,353646,5.4,Beautiful setting with convenient location access,Expedia
POI_00014,COMP_0022,Royal Caribbean,Thailand,Hotel Chain,2024,443068,389653,7,338914.24,38168.86,6.5,5.7,4.7,0.54,0.6,2883.84,377083.1,6.6,Perfect destination for families with children,TripAdvisor
POI_00015,COMP_0024,MSC Cruises,Japan,Resort,2023,2220243,1599228,6.6,156762.09,23327.76,5,3.3,3.8,0.68,0.56,770.97,180089.85,5.5,Outstanding service exceeded our expectations completely,Airbnb
POI_00016,COMP_0030,Insight Vacations,Indonesia,Travel Agency,2021,10136224,8816941,9,451420.95,87878.47,6.8,7.1,4.9,0.56,0.62,1562.22,539299.42,5.6,Clean and comfortable with friendly staff members,Booking.com
POI_00017,COMP_0008,Best Western,France,Tour Operator,2023,165256515,122132596,9.2,216571.42,22159.26,7.4,5.9,4.7,0.75,0.61,3071,238730.68,8.9,Highly recommended for first-time visitors,Booking.com
POI_00018,COMP_0007,Choice Hotels,Turkey,Tour Operator,2021,3232593,2887775,9.7,471269.65,96329.62,9.5,9,6.3,0.57,0.87,655.92,567599.27,6.4,Exceeded expectations in every possible way,Direct Website
POI_00019,COMP_0029,Contiki Holidays,Indonesia,Cruise Line,2021,4184281,3046227,8.3,414551.03,95371.96,5.5,7.8,7.2,0.79,0.7,1222.04,509922.99,5.6,Highly recommended for first-time visitors,Expedia
POI_00020,COMP_0008,Best Western,Australia,Travel Agency,2024,863199,690821,9.7,310226.06,32695.14,8.3,8,8.3,0.86,0.88,362.91,342921.2,6.5,Highly recommended for first-time visitors,TripAdvisor
POI_00021,COMP_0014,Booking Holdings,Turkey,Cruise Line,2022,166850,117813,7.9,88406.36,9525.98,2.6,7.2,5.4,0.39,0.62,753.21,97932.34,7,Facility could use some updates and maintenance,Expedia
POI_00022,COMP_0017,TUI Group,Spain,Hotel Chain,2020,4193776,3470291,8.1,61407.83,15007.91,6.5,8,6.1,0.53,0.71,407.28,76415.74,5.1,Good value for money with comfortable accommodations,Expedia
POI_00023,COMP_0021,Carnival Corporation,UAE,Cruise Line,2024,757263,553777,9.3,325274.34,53000.2,4.4,7.2,8,0.76,0.65,1849.59,378274.54,9.1,Excellent staff and well-maintained property throughout,Direct Website
POI_00024,COMP_0013,Expedia Group,Turkey,Cruise Line,2024,23764319,20236963,7,271227.14,46385.47,2.2,3.9,3.7,0.33,0.63,431.92,317612.61,6,Highly recommended for first-time visitors,TripAdvisor
POI_00025,COMP_0028,Trafalgar Tours,France,Hotel Chain,2024,104843,86707,6.7,339088.68,35257.32,2.2,4.6,5.4,0.65,0.6,214.05,374346,5.6,Highly recommended for first-time visitors,Airbnb
POI_00026,COMP_0004,Hyatt Hotels,Thailand,Cruise Line,2021,413867,337341,8.3,138106.01,15247.48,4.7,6.8,6.1,0.68,0.77,3091.32,153353.49,5.8,Disappointing considering the price point charged,Booking.com
POI_00027,COMP_0024,MSC Cruises,Australia,Tour Operator,2024,853105,741327,6.4,411566.42,58568.04,2,5.8,4.1,0.38,0.54,2142.69,470134.46,5.2,Perfect destination for families with children,TripAdvisor
POI_00028,COMP_0030,Insight Vacations,United Kingdom,Tour Operator,2024,3000261,2584326,6.7,387891.98,82691.37,6.7,4.7,4.6,0.84,0.48,1401.78,470583.35,6.5,Relaxing environment with modern amenities available,Expedia
POI_00029,COMP_0005,Accor Hotels,Singapore,Resort,2024,2196610,1678232,6.4,308047.05,60000.04,5.9,4.4,3.2,0.93,0.4,3060.16,368047.09,4.2,Lovely place with authentic local experiences,Booking.com
POI_00030,COMP_0020,Intrepid Travel,Singapore,Cruise Line,2020,8617978,6599069,7.8,248688.73,57983.18,6,6.8,7,0.85,0.49,420.87,306671.91,5.8,Good value for money with comfortable accommodations,Airbnb
POI_00031,COMP_0029,Contiki Holidays,United States,Tour Operator,2021,4655668,3337282,7.4,216788.97,48109.79,5.9,4,6.7,0.79,0.47,1581.3,264898.76,4,Great location but slightly crowded during peak season,Expedia
POI_00032,COMP_0029,Contiki Holidays,Turkey,Hotel Chain,2020,26749314,22754990,9.8,55109.14,9385.04,5.5,5.3,8.7,0.69,0.73,355.68,64494.18,9.3,Exceeded expectations in every possible way,Booking.com
POI_00033,COMP_0025,Disney Cruise Line,Italy,Resort,2021,12854843,11472106,6.2,451014.4,80801.56,3.5,4,5.8,0.46,0.58,778.92,531815.96,3.1,Exceeded expectations in every possible way,TripAdvisor
POI_00034,COMP_0006,Wyndham Hotels,Thailand,Travel Agency,2024,7858777,6371667,10,70450.87,10014.2,9.8,7.6,8.1,0.79,0.76,2036.08,80465.07,8.1,Would definitely return for another visit soon,Expedia
POI_00035,COMP_0030,Insight Vacations,Italy,Resort,2022,2592359,1958466,9.8,291243.36,42646.52,4.2,7.2,6.6,0.71,0.61,2371.05,333889.88,9.7,Outstanding service exceeded our expectations completely,Airbnb
POI_00036,COMP_0015,Airbnb Inc,Italy,Cruise Line,2020,12876830,9432579,9.3,70348.4,7313.07,8.7,8.5,9.1,0.81,0.76,3011.64,77661.47,6.6,Facility could use some updates and maintenance,Expedia
POI_00037,COMP_0003,IHG Hotels,Singapore,Hotel Chain,2024,3316676,2965052,7.5,499872.95,124716.06,6.7,6.9,5.5,0.59,0.52,2821.24,624589.01,4,Professional service and attention to detail,Expedia
POI_00038,COMP_0019,G Adventures,Japan,Hotel Chain,2020,522010,464042,8.2,328157.71,50445.85,7.3,5.1,5.9,0.39,0.77,780.15,378603.56,6.6,Great location but slightly crowded during peak season,Expedia
POI_00039,COMP_0003,IHG Hotels,France,Tour Operator,2020,3090581,2484928,6.5,329139.3,67674.98,5.8,5,5.1,0.91,0.48,480.6,396814.28,3.7,Lovely place with authentic local experiences,Expedia
POI_00040,COMP_0009,Radisson Hotel Group,Indonesia,Cruise Line,2021,37905554,26644153,6.9,228444.25,44161.24,3.8,5.5,4.8,0.61,0.63,1839.16,272605.49,4.7,Professional service and attention to detail,Expedia
POI_00041,COMP_0024,MSC Cruises,Turkey,Travel Agency,2023,2475849,1960444,9.4,118356.21,14300.28,9.3,7,6.2,0.74,0.64,190.22,132656.49,5.1,Facility could use some updates and maintenance,Direct Website
POI_00042,COMP_0026,Celebrity Cruises,United States,Resort,2020,7388544,5682776,8.6,129654.72,14690.58,8,6.3,7.2,0.42,0.57,436.5,144345.3,4.5,Good value for money with comfortable accommodations,Direct Website
POI_00043,COMP_0012,Melia Hotels,United States,Cruise Line,2023,213163,170676,6.5,174594.94,38573.29,5.1,3.4,5.8,0.74,0.41,744.61,213168.23,6.1,Great location but slightly crowded during peak season,Booking.com
POI_00044,COMP_0002,Hilton Worldwide,United States,Tour Operator,2020,1758889,1304867,9,371007.31,86919.97,5,6.7,7.3,0.56,0.69,251.36,457927.28,7.9,Facility could use some updates and maintenance,Expedia
POI_00045,COMP_0007,Choice Hotels,Italy,Cruise Line,2021,543032,437968,8,450737.28,85206.87,3.8,5.1,5.5,0.31,0.57,329.25,535944.15,4.8,Would definitely return for another visit soon,Expedia
POI_00046,COMP_0009,Radisson Hotel Group,Spain,Resort,2020,3259760,2606792,8.7,340662.76,63232.71,3.1,6.7,6.9,0.82,0.65,597.28,403895.47,4.9,Disappointing considering the price point charged,TripAdvisor
POI_00047,COMP_0004,Hyatt Hotels,France,Travel Agency,2020,2057801,1482350,7.4,286030.13,46210.89,3,4.6,4.3,0.43,0.52,727.74,332241.02,4.3,Excellent staff and well-maintained property throughout,Expedia
POI_00048,COMP_0006,Wyndham Hotels,United States,Cruise Line,2023,3018019,2352760,9.9,307225.71,43625.09,9.7,9.2,9,0.48,0.65,2251.68,350850.8,8.3,Breathtaking views and stunning natural scenery,Direct Website
POI_00049,COMP_0029,Contiki Holidays,France,Resort,2023,1128410,904446,9.1,73320.59,11034.06,4.3,5.1,7.3,0.5,0.73,1310.4,84354.65,5.3,Amazing experience with exceptional service and beautiful facilities,Direct Website
POI_00050,COMP_0009,Radisson Hotel Group,United States,Cruise Line,2022,355726,319439,6.5,206990.72,49559.66,3.4,5.9,4.1,0.78,0.56,860.2,256550.38,5.2,Would definitely return for another visit soon,TripAdvisor
POI_00051,COMP_0022,Royal Caribbean,Australia,Cruise Line,2021,3120123,2225581,9.3,416558.62,83219.91,7.6,7.3,8.6,0.4,0.82,214.56,499778.53,5.6,Breathtaking views and stunning natural scenery,Airbnb
POI_00052,COMP_0007,Choice Hotels,France,Travel Agency,2024,2605187,2280685,8.1,154495.71,36296.63,4.7,7.4,5.8,0.56,0.62,1869.99,190792.34,5.3,Great location but slightly crowded during peak season,Airbnb
POI_00053,COMP_0002,Hilton Worldwide,France,Travel Agency,2023,8950226,6474411,7.5,404868.75,49698.14,7.2,6.1,5,0.4,0.66,1893.68,454566.89,6.1,Lovely place with authentic local experiences,TripAdvisor
POI_00054,COMP_0006,Wyndham Hotels,France,Travel Agency,2020,2228073,1891164,7.2,107369.9,17135.49,2.3,5.7,6.3,0.91,0.52,709.76,124505.39,6.6,Perfect destination for families with children,Booking.com
POI_00055,COMP_0020,Intrepid Travel,United Kingdom,Resort,2023,1572918,1327554,9.2,230383.14,39004.07,6.9,7.8,7.1,0.48,0.66,2207.76,269387.21,5.4,Good value for money with comfortable accommodations,TripAdvisor
POI_00056,COMP_0008,Best Western,Turkey,Travel Agency,2020,1098381,897647,9.8,368257.39,45251.78,6.4,7.9,5,0.91,0.91,2350.64,413509.17,7.7,Relaxing environment with modern amenities available,Booking.com
POI_00057,COMP_0014,Booking Holdings,Indonesia,Travel Agency,2024,362086,321124,8.3,283477.13,53489.67,7.9,6,4.6,0.99,0.74,2978.36,336966.8,4.7,Lovely place with authentic local experiences,Airbnb
POI_00058,COMP_0030,Insight Vacations,Thailand,Resort,2022,31560892,24208449,7.6,381875.56,64091.2,6.6,3.8,5.1,0.58,0.6,684.88,445966.76,7.3,Facility could use some updates and maintenance,Airbnb
POI_00059,COMP_0013,Expedia Group,UAE,Tour Operator,2023,330985,264680,6.9,482481.64,59007.22,4.1,6.6,4.7,0.71,0.57,564.48,541488.86,3.5,Clean and comfortable with friendly staff members,Booking.com
POI_00060,COMP_0001,Marriott International,Spain,Travel Agency,2024,1531064,1377000,7.7,66447.35,11349.87,5,6.1,4.1,0.82,0.52,243.6,77797.22,7.3,Good value for money with comfortable accommodations,Booking.com
POI_00061,COMP_0018,Thomas Cook,Japan,Travel Agency,2022,19390981,15127924,8.3,233930.38,24283.83,5.7,4.8,4.9,0.9,0.77,868.56,258214.21,5.7,Peaceful atmosphere perfect for relaxation and unwinding,Airbnb
POI_00062,COMP_0029,Contiki Holidays,United Kingdom,Resort,2022,39545,32893,6.6,343735.75,46654.37,2.1,4,4.1,0.77,0.4,659.94,390390.12,3.6,Unforgettable experience with lasting memories,Expedia
POI_00063,COMP_0015,Airbnb Inc,Italy,Tour Operator,2024,7387458,6397863,6.4,61939.49,7879.65,3.7,5.3,3.9,0.51,0.58,159.86,69819.14,3.2,Lovely place with authentic local experiences,Booking.com
POI_00064,COMP_0022,Royal Caribbean,Italy,Tour Operator,2020,584726,513702,8.3,298421.23,49364.54,7.2,5.6,5.2,0.57,0.67,1073.8,347785.77,5.3,Peaceful atmosphere perfect for relaxation and unwinding,Airbnb
POI_00065,COMP_0004,Hyatt Hotels,United Kingdom,Travel Agency,2021,10326874,8107037,7.2,286560.58,36035.54,2.3,4.6,5.5,0.74,0.5,2737.8,322596.12,4.1,Highly recommended for first-time visitors,Airbnb
POI_00066,COMP_0020,Intrepid Travel,Japan,Tour Operator,2021,1631183,1440106,7.1,111598.53,26225.97,2.7,5.6,4.5,0.69,0.59,244.49,137824.5,6.5,Highly recommended for first-time visitors,TripAdvisor
POI_00067,COMP_0016,TripAdvisor,Thailand,Hotel Chain,2020,34318317,25226511,9.5,321418.45,43970.8,8.9,6.7,6.6,0.66,0.59,616.62,365389.25,5.5,Would definitely return for another visit soon,Airbnb
POI_00068,COMP_0002,Hilton Worldwide,France,Tour Operator,2021,21872680,16866779,7.6,64032.41,8922.25,6.1,4.9,6,0.63,0.63,612.8,72954.66,7.4,Highly recommended for first-time visitors,Expedia
POI_00069,COMP_0024,MSC Cruises,Spain,Travel Agency,2023,2580223,1978641,8.4,418596.04,92054.45,7.1,4.6,4.5,0.81,0.65,404.38,510650.49,7.1,Professional service and attention to detail,Booking.com
POI_00070,COMP_0004,Hyatt Hotels,United Kingdom,Resort,2024,887500,726016,8.8,442825.63,92919.75,4.9,4.8,8.4,0.4,0.82,688.77,535745.38,6.4,Great location but slightly crowded during peak season,Airbnb
POI_00071,COMP_0019,G Adventures,Italy,Resort,2023,21520659,16139065,9.2,305575.35,72520.13,5.9,5.6,9.1,0.96,0.56,747.67,378095.48,7.8,Peaceful atmosphere perfect for relaxation and unwinding,Booking.com
POI_00072,COMP_0010,Minor Hotels,Singapore,Hotel Chain,2022,9652988,7331153,6.1,66653.44,12626.86,5.8,6,5.9,0.63,0.55,1293.48,79280.3,5.6,Breathtaking views and stunning natural scenery,Expedia
POI_00073,COMP_0022,Royal Caribbean,United Kingdom,Tour Operator,2024,469314,334654,6.9,60980.35,14056.88,3.6,5.3,6.2,0.52,0.57,531.1,75037.23,6.5,Would definitely return for another visit soon,TripAdvisor
POI_00074,COMP_0024,MSC Cruises,UAE,Resort,2021,14217815,11456537,6.1,443154.7,109730.65,5.8,5.5,6.1,0.55,0.53,1307.73,552885.35,4.3,Perfect destination for families with children,Direct Website
POI_00075,COMP_0001,Marriott International,UAE,Tour Operator,2023,238389,178257,9.1,242497.91,38229.55,3.4,6.2,5.9,0.51,0.62,450.04,280727.46,4.7,Facility could use some updates and maintenance,Airbnb
POI_00076,COMP_0006,Wyndham Hotels,United States,Hotel Chain,2023,164594,146487,8.7,496025.88,66839.86,7.4,4.7,6.2,0.92,0.81,529.39,562865.74,6.4,Great location but slightly crowded during peak season,Direct Website
POI_00077,COMP_0008,Best Western,Japan,Cruise Line,2022,16907479,12615244,9.8,467488.53,116515.05,4.2,6,5.8,0.85,0.71,3113.48,584003.58,5.2,Unforgettable experience with lasting memories,Expedia
POI_00078,COMP_0008,Best Western,France,Resort,2023,21781073,18549801,6.7,91169.08,21116.5,5.3,3.9,6.1,0.46,0.45,1545.18,112285.58,5.1,Clean and comfortable with friendly staff members,Airbnb
POI_00079,COMP_0028,Trafalgar Tours,United Kingdom,Tour Operator,2022,4879994,3500895,7.1,84258.89,19184.15,4.2,4.9,4.5,0.81,0.55,762.39,103443.04,3.8,Lovely place with authentic local experiences,Direct Website
POI_00080,COMP_0022,Royal Caribbean,Italy,Tour Operator,2020,12021816,9839635,8,432761.78,99575.95,7,5.4,6.7,0.7,0.55,1974.6,532337.73,7.5,Good value for money with comfortable accommodations,Airbnb
POI_00081,COMP_0006,Wyndham Hotels,Turkey,Tour Operator,2020,5975213,4921916,8.8,384578.72,47731.6,7.3,5.1,8.3,0.91,0.54,380.42,432310.32,8,Good value for money with comfortable accommodations,TripAdvisor
POI_00082,COMP_0014,Booking Holdings,Singapore,Tour Operator,2023,11365468,9109349,9.3,400930.43,46526.81,2.8,6,7.5,0.99,0.76,1631.4,447457.24,5.9,Relaxing environment with modern amenities available,TripAdvisor
POI_00083,COMP_0004,Hyatt Hotels,United States,Travel Agency,2021,5632671,4655540,9,311976.71,47383.79,8.6,5,8.7,0.78,0.56,595.72,359360.5,5.9,Highly recommended for first-time visitors,Booking.com
POI_00084,COMP_0023,Norwegian Cruise Line,United States,Hotel Chain,2024,2228059,1948008,8.5,269889.44,58177.67,8.3,8.4,7.4,0.39,0.74,230.98,328067.11,4.4,Professional service and attention to detail,Expedia
POI_00085,COMP_0012,Melia Hotels,United States,Hotel Chain,2022,242407,190347,8.7,172966.79,41966.85,5.4,5.1,7.8,0.79,0.59,1729.05,214933.64,4.7,Relaxing environment with modern amenities available,Airbnb
POI_00086,COMP_0022,Royal Caribbean,United Kingdom,Tour Operator,2024,1040358,924590,6.6,145897.12,15271.07,3.9,5.4,4.6,0.49,0.62,725.87,161168.19,4.7,Unforgettable experience with lasting memories,Direct Website
POI_00087,COMP_0011,NH Hotel Group,United States,Tour Operator,2024,10552890,9430471,8.6,64636.78,15391.77,3.7,8,7.6,0.84,0.77,538.35,80028.55,7.6,Peaceful atmosphere perfect for relaxation and unwinding,Expedia
POI_00088,COMP_0014,Booking Holdings,Indonesia,Cruise Line,2021,1694478,1349320,8.5,171047.03,37567.72,3.2,4.8,7.2,0.6,0.57,434.85,208614.75,6.3,Relaxing environment with modern amenities available,TripAdvisor
POI_00089,COMP_0010,Minor Hotels,United States,Travel Agency,2020,1174497,914344,7.2,97218.58,13251.55,4.6,5.8,4.6,0.79,0.65,255.46,110470.13,6.4,Unforgettable experience with lasting memories,Airbnb
POI_00090,COMP_0007,Choice Hotels,United States,Travel Agency,2024,2434646,1947175,9.9,64941.4,7259.59,7.3,8.4,7.7,0.31,0.71,323.02,72200.99,7.5,Clean and comfortable with friendly staff members,Direct Website
POI_00091,COMP_0015,Airbnb Inc,Spain,Resort,2024,3267377,2810328,7.6,293583.35,60583.59,3.3,4.4,4.2,0.75,0.64,755.35,354166.94,3.9,Exceeded expectations in every possible way,Expedia
POI_00092,COMP_0022,Royal Caribbean,United Kingdom,Tour Operator,2024,624457,537249,9.5,286881.2,60170.01,5.1,8.6,5.1,0.93,0.75,1249.86,347051.21,8.6,Relaxing environment with modern amenities available,Airbnb
POI_00093,COMP_0003,IHG Hotels,United States,Resort,2022,446017,370971,6.3,356102.71,39466.78,4.1,4.9,5.4,0.46,0.6,555.23,395569.49,6.2,Facility could use some updates and maintenance,Expedia
POI_00094,COMP_0005,Accor Hotels,France,Hotel Chain,2021,742326,588312,6.1,440164.17,82223.24,5.5,5.3,5.3,0.6,0.44,791.35,522387.41,4.2,Exceeded expectations in every possible way,TripAdvisor
POI_00095,COMP_0028,Trafalgar Tours,United States,Hotel Chain,2023,2281728,2008241,7.8,109205.46,22646.35,4.6,5,6.2,0.94,0.53,1626.27,131851.81,6.3,Would definitely return for another visit soon,TripAdvisor
POI_00096,COMP_0007,Choice Hotels,Australia,Cruise Line,2023,36073407,26965184,9.6,211655.02,39990.66,9.4,5.7,8.9,0.64,0.66,1235.13,251645.68,9,Outstanding service exceeded our expectations completely,Expedia
POI_00097,COMP_0005,Accor Hotels,Indonesia,Hotel Chain,2020,3162742,2629337,6.7,283898.28,42741.02,3.5,5.9,3.8,0.98,0.51,151.45,326639.3,4.1,Would definitely return for another visit soon,Expedia
POI_00098,COMP_0006,Wyndham Hotels,United States,Travel Agency,2023,2366420,1774206,9.3,429876.7,94938.49,6.8,7.9,5.4,0.42,0.57,1129.32,524815.19,8.1,Great location but slightly crowded during peak season,TripAdvisor
POI_00099,COMP_0008,Best Western,United Kingdom,Cruise Line,2021,1326117,999826,8.3,278255.66,29560.75,2.8,6.4,8,0.33,0.53,1507.42,307816.41,6,Disappointing considering the price point charged,TripAdvisor
POI_00100,COMP_0018,Thomas Cook,Turkey,Tour Operator,2023,4154403,3709981,6.6,112843.06,11791.65,2,6.4,5.4,0.91,0.5,1326.57,124634.71,5,Relaxing environment with modern amenities available,TripAdvisor
POI_00101,COMP_0014,Booking Holdings,Italy,Cruise Line,2021,561635,502092,7.2,357461.61,62404.29,2.6,6,5.2,0.91,0.48,2746.72,419865.9,6.1,Exceeded expectations in every possible way,Direct Website
POI_00102,COMP_0009,Radisson Hotel Group,United States,Resort,2022,7642878,6222235,8.5,97966.86,19463.74,2.7,8.2,7.2,0.77,0.57,1127.13,117430.6,7.1,Lovely place with authentic local experiences,Direct Website
POI_00103,COMP_0021,Carnival Corporation,Japan,Tour Operator,2023,14983925,12187973,10,246012.49,54780.86,8.2,9.4,7,0.53,0.83,2534.4,300793.35,9,Excellent staff and well-maintained property throughout,Airbnb
POI_00104,COMP_0008,Best Western,Thailand,Tour Operator,2022,1350615,946986,6.5,152271.33,16898.98,3.4,4.4,4.5,0.79,0.48,532.56,169170.31,4.7,Professional service and attention to detail,Booking.com
POI_00105,COMP_0005,Accor Hotels,UAE,Resort,2023,12650239,9816043,8.4,290121.15,55467.03,7.6,6.4,6.2,0.32,0.6,1137.54,345588.18,5.8,Peaceful atmosphere perfect for relaxation and unwinding,Expedia
POI_00106,COMP_0003,IHG Hotels,United States,Cruise Line,2022,30473525,25708216,9.1,77120.33,18521.64,8.8,4.6,5.4,0.31,0.75,1081.76,95641.97,8.6,Professional service and attention to detail,Direct Website
POI_00107,COMP_0014,Booking Holdings,France,Resort,2023,1893165,1433078,7.4,104848.74,13333.87,3.8,6.7,5.7,0.52,0.6,581.68,118182.61,6.3,Outstanding service exceeded our expectations completely,TripAdvisor
POI_00108,COMP_0023,Norwegian Cruise Line,France,Travel Agency,2023,543963,437908,8.7,69535.64,13557.55,6.9,4.8,6.8,0.48,0.82,1992.57,83093.19,6.5,Exceeded expectations in every possible way,Booking.com
POI_00109,COMP_0012,Melia Hotels,Thailand,Cruise Line,2023,20578121,15343375,9.8,173662.72,38794.89,4.4,7.9,6.9,0.89,0.9,1063.24,212457.61,6.6,Professional service and attention to detail,TripAdvisor
POI_00110,COMP_0026,Celebrity Cruises,Turkey,Resort,2023,4356642,3132892,7.7,60637.36,11902.85,5.7,5.6,6.1,0.42,0.66,251.72,72540.21,7.2,Facility could use some updates and maintenance,Airbnb
POI_00111,COMP_0014,Booking Holdings,Spain,Hotel Chain,2023,238804,195555,8.4,496065.2,59160.31,5.4,8.3,4.8,0.79,0.62,1806.96,555225.51,6,Clean and comfortable with friendly staff members,Direct Website
POI_00112,COMP_0024,MSC Cruises,UAE,Cruise Line,2021,3106618,2533998,6.4,81240.73,14449.39,3.1,3.5,3.5,0.93,0.43,517.32,95690.12,4.2,Relaxing environment with modern amenities available,TripAdvisor
POI_00113,COMP_0001,Marriott International,United States,Travel Agency,2024,750828,657737,6.3,378792.73,64311.75,4.8,4.8,4.2,0.53,0.53,1689.87,443104.48,6.3,Amazing experience with exceptional service and beautiful facilities,Booking.com
POI_00114,COMP_0021,Carnival Corporation,United States,Resort,2023,5424280,4835882,6.2,349210.28,76587.92,2.6,5.2,3.7,0.68,0.39,1258.62,425798.2,4.5,Perfect destination for families with children,Booking.com
POI_00115,COMP_0009,Radisson Hotel Group,United States,Tour Operator,2021,1117620,1004178,9.7,421730.43,91643.8,9.2,7.5,8.9,0.66,0.79,628.69,513374.23,5.3,Disappointing considering the price point charged,Airbnb
POI_00116,COMP_0011,NH Hotel Group,United States,Cruise Line,2022,258837,196878,8.8,320267.45,56800.05,4.3,6,4.8,0.96,0.7,755.78,377067.5,5.7,Would definitely return for another visit soon,Airbnb
POI_00117,COMP_0027,Abercrombie & Kent,United Kingdom,Cruise Line,2020,4807959,3566073,9.7,187105.61,20981.63,9.2,5.4,8.8,0.57,0.88,2656.6,208087.24,9.1,Professional service and attention to detail,Booking.com
POI_00118,COMP_0012,Melia Hotels,Japan,Hotel Chain,2020,1965127,1648722,7.6,322813.82,69315.06,4.1,7.5,6.2,0.88,0.49,1491.86,392128.88,7.1,Amazing experience with exceptional service and beautiful facilities,Expedia
POI_00119,COMP_0007,Choice Hotels,France,Travel Agency,2021,38806,30017,6.7,277763.84,46088.45,2.3,3.4,3.8,0.97,0.53,805.5,323852.29,6.6,Facility could use some updates and maintenance,Expedia
POI_00120,COMP_0016,TripAdvisor,Indonesia,Hotel Chain,2024,2218188,1648574,6.4,76001.25,15523.66,4.7,5.3,3.7,0.34,0.56,562.84,91524.91,4.7,Breathtaking views and stunning natural scenery,Direct Website
POI_00121,COMP_0023,Norwegian Cruise Line,Thailand,Tour Operator,2021,1075203,817859,9.9,330753.13,59223.41,3.7,8.4,5.3,0.66,0.94,1061.3,389976.54,9,Relaxing environment with modern amenities available,TripAdvisor
POI_00122,COMP_0024,MSC Cruises,Australia,Hotel Chain,2021,1056151,926583,7.7,237269.3,40858.16,4.7,4.6,5.3,0.59,0.69,638.51,278127.46,6.7,Unforgettable experience with lasting memories,Booking.com
POI_00123,COMP_0019,G Adventures,France,Tour Operator,2024,5673257,4578670,6.1,296581.77,49872.18,2.7,3.1,3.8,0.98,0.54,441.5,346453.95,6,Outstanding service exceeded our expectations completely,Direct Website
