POI_ID,Common_Travel_Partner,Total_Visitors,Dominant_Age_Group,Origin_Country,Average_Sentiment_Score,Average_Rating,Reviews,Avg_spend_per_head,Accesebility_index,Travel_mode,time_spent,Overall_experience,  
POI_00027,Couple,2,65+,Japan,6.1,6.6,Breathtaking views,378.5,6.5,Train,72 hours,7.1,
POI_00028,Family,4,36-45,Germany,7,7.7,Good value for money,335.62,4.4,Flight,240 mins,7,
POI_00029,Solo,1,18-25,France,8.7,9.3,Excellent facilities and staff,214.99,8.4,Cruise,90 mins,9.6,
POI_00030,Friends,4,56-65,Germany,6.4,6.9,Peaceful and relaxing atmosphere,655.82,5.6,Flight,240 mins,6.9,
POI_00031,Family,5,65+,China,9.4,9.3,Peaceful and relaxing atmosphere,276.26,6.3,Cruise,90 mins,8.7,
POI_00032,Friends,6,65+,United Kingdom,10,9.7,Unforgettable memories created,747.9,7,Cruise,90 mins,8.9,
POI_00033,Family,3,46-55,Canada,5.6,6,Could be better maintained,448.86,4.3,Train,180 mins,6.5,
POI_00034,Family,4,26-35,Germany,8.1,8,Excellent facilities and staff,146,7.1,Flight,24 hours,7.9,
POI_00035,Couple,2,26-35,United States,8.1,7.6,Beautiful location but crowded,224.98,6.3,Bus,60 mins,7.2,
POI_00036,Friends,4,65+,Japan,6.1,6.3,Could be better maintained,513.21,4,Cruise,240 mins,6.5,
POI_00037,Family,3,26-35,France,7,7.7,Highly recommended destination,740.01,4.3,Bus,240 mins,7.8,
POI_00038,Family,3,56-65,China,8.9,8.7,Excellent facilities and staff,271.74,6,Train,60 mins,8.3,
POI_00039,Friends,5,18-25,Germany,8,8.4,Breathtaking views,673.37,7.6,Bus,120 hours,8.7,
POI_00040,Friends,7,56-65,Germany,8.1,8.9,Could be better maintained,593.9,8.6,Train,90 mins,8.3,
POI_00041,Solo,1,46-55,United States,7,7.3,Beautiful location but crowded,477.64,6.5,Bus,60 mins,7,
POI_00042,Family,4,36-45,Australia,9.8,10,Peaceful and relaxing atmosphere,616.31,6.2,Bus,90 mins,9.2,
POI_00043,Couple,2,26-35,United States,10,9.8,Unforgettable memories created,458.88,6,Train,60 mins,9.2,
POI_00044,Solo,1,26-35,France,8.3,9,Beautiful location but crowded,714.22,5.7,Cruise,30 mins,8.3,
POI_00045,Family,3,65+,China,8.6,8,Unforgettable memories created,658.2,6.6,Flight,90 mins,8.6,
POI_00046,Friends,4,36-45,Canada,9.5,9.3,Excellent facilities and staff,786.83,7.6,Bus,60 mins,8.9,
POI_00047,Family,5,26-35,China,10,9.7,Peaceful and relaxing atmosphere,624.76,5.5,Bus,60 mins,10,
POI_00048,Couple,2,36-45,France,6.2,6.7,Perfect for families,402.63,6.5,Car,180 mins,6.6,
POI_00049,Couple,2,65+,Canada,8.6,9.5,Could be better maintained,744.59,7.7,Bus,30 mins,10,
POI_00050,Family,5,46-55,Japan,7.6,7.2,Perfect for families,127.73,5.3,Bus,90 mins,6.6,
POI_00051,Couple,2,26-35,Canada,7.6,7.4,Peaceful and relaxing atmosphere,594.53,3.8,Cruise,180 mins,8,
POI_00052,Family,5,18-25,United Kingdom,8.8,9.3,Peaceful and relaxing atmosphere,783.11,6.2,Flight,24 hours,8.7,
POI_00053,Friends,3,46-55,Canada,6.8,6.3,Perfect for families,505.07,4.5,Train,24 hours,6.6,
POI_00054,Solo,1,26-35,United Kingdom,6.2,6.5,Unforgettable memories created,709.52,4.7,Car,30 mins,6.5,
POI_00055,Friends,3,36-45,Australia,7.3,7.8,Peaceful and relaxing atmosphere,125.67,6.8,Cruise,180 mins,8.1,
POI_00056,Couple,2,56-65,China,6.8,6.2,Excellent facilities and staff,103.46,6.1,Flight,120 mins,6.4,
POI_00057,Friends,6,18-25,Germany,10,9.9,Peaceful and relaxing atmosphere,499.43,5.1,Cruise,240 mins,10,
POI_00058,Solo,1,18-25,United Kingdom,8.1,7.6,Peaceful and relaxing atmosphere,633.6,6.8,Cruise,240 mins,7.5,
POI_00059,Friends,3,46-55,China,7.3,7.5,Unforgettable memories created,366.14,5.2,Flight,120 mins,7.6,
POI_00060,Couple,2,46-55,Canada,6.7,7,Peaceful and relaxing atmosphere,662.12,5.4,Train,180 mins,6.7,
POI_00061,Solo,1,26-35,Japan,8.9,8.3,Breathtaking views,259.66,5,Bus,90 mins,8.5,
POI_00062,Solo,1,46-55,United States,8.7,8.5,Highly recommended destination,524.97,6.6,Bus,120 mins,8,
POI_00063,Couple,2,36-45,United Kingdom,6.3,6.5,Peaceful and relaxing atmosphere,148.6,4.9,Bus,240 mins,5.9,
POI_00064,Friends,5,18-25,Germany,7.5,8.2,Beautiful location but crowded,415.26,7.2,Bus,30 mins,8,
POI_00065,Friends,3,56-65,United Kingdom,9.2,8.5,Breathtaking views,487.66,5.5,Train,180 mins,8.3,
POI_00066,Solo,1,36-45,France,7.8,7.5,Unforgettable memories created,342.27,7.4,Cruise,96 hours,7.7,
POI_00067,Couple,2,56-65,Australia,6.9,7.5,Good value for money,548.58,4.6,Bus,30 mins,7.7,
POI_00068,Couple,2,56-65,Japan,6.8,6.6,Beautiful location but crowded,314.38,5.4,Bus,30 mins,6.6,
POI_00069,Family,5,56-65,Australia,8.4,7.7,Beautiful location but crowded,441.5,4.3,Car,240 mins,7.8,
POI_00070,Solo,1,46-55,China,8.3,9.1,Beautiful location but crowded,731.23,6.6,Bus,60 mins,9.3,
POI_00071,Couple,2,26-35,Australia,5.9,6.3,Unforgettable memories created,168.88,5.2,Train,60 mins,6.6,
POI_00072,Couple,2,46-55,France,9.3,9.1,Could be better maintained,623.65,8.2,Car,240 mins,9.4,
POI_00073,Family,5,56-65,France,7.1,6.8,Breathtaking views,643.51,5.6,Car,120 mins,6.4,
POI_00074,Family,5,65+,France,8.3,8.9,Amazing experience with great service,423.09,4.5,Bus,90 mins,8.4,
POI_00075,Couple,2,65+,Germany,9,9.1,Unforgettable memories created,605.45,8.6,Car,240 mins,9.3,
POI_00076,Family,4,36-45,Australia,5.8,6.3,Excellent facilities and staff,140.99,4.2,Train,60 mins,6.7,
POI_00077,Family,4,18-25,Canada,9.4,10,Beautiful location but crowded,353.56,6.7,Train,60 mins,9.1,
POI_00078,Solo,1,46-55,Japan,9.7,9.2,Peaceful and relaxing atmosphere,211.24,7.4,Cruise,120 mins,8.5,
POI_00079,Solo,1,65+,Canada,8.7,9,Peaceful and relaxing atmosphere,729.88,4.6,Bus,24 hours,9.3,
POI_00080,Friends,7,46-55,Japan,8.4,8.3,Highly recommended destination,466.37,4.6,Bus,180 mins,8.9,
POI_00081,Friends,4,46-55,Germany,7.3,7.8,Perfect for families,331.15,6.9,Flight,240 mins,7.8,
POI_00082,Solo,1,65+,Germany,9,9.6,Unforgettable memories created,466.33,6.2,Flight,30 mins,10,
POI_00083,Couple,2,56-65,United States,8.8,9.6,Peaceful and relaxing atmosphere,717.69,8.7,Train,60 mins,9.6,
POI_00084,Family,5,26-35,Japan,7.8,8.1,Amazing experience with great service,429.82,7.4,Train,72 hours,8,
POI_00085,Friends,4,36-45,China,8.1,7.8,Could be better maintained,148.75,4.6,Cruise,60 mins,8.4,
POI_00086,Friends,3,65+,China,9.7,9.8,Could be better maintained,422.25,9.1,Bus,30 mins,9.9,
POI_00087,Friends,5,56-65,France,8.3,9,Could be better maintained,269.33,4.6,Cruise,120 hours,8.9,
POI_00088,Couple,2,46-55,Japan,6.1,6.7,Could be better maintained,681.96,5.4,Bus,120 mins,6.2,
POI_00089,Solo,1,18-25,China,8.4,8.4,Beautiful location but crowded,556.56,8.2,Bus,30 mins,8.6,
POI_00090,Friends,4,65+,United States,6.6,7.3,Peaceful and relaxing atmosphere,175.62,4.9,Cruise,90 mins,7.7,
POI_00091,Solo,1,36-45,Japan,7.7,8,Beautiful location but crowded,676.65,7.8,Car,180 mins,8.5,
POI_00092,Family,4,36-45,Japan,6.6,6.5,Amazing experience with great service,107.09,5.3,Train,60 mins,7,
POI_00093,Friends,6,36-45,United Kingdom,7.5,7.9,Perfect for families,314.42,7.1,Car,240 mins,7.8,
POI_00094,Solo,1,36-45,Canada,7.7,7.5,Breathtaking views,338.42,4,Bus,180 mins,7.4,
POI_00095,Friends,7,56-65,France,7.4,8,Amazing experience with great service,769.14,5.3,Train,96 hours,8.6,
POI_00096,Solo,1,18-25,Canada,7.8,8.2,Breathtaking views,776.49,6.4,Train,48 hours,7.9,
POI_00097,Solo,1,46-55,China,6.3,6.8,Perfect for families,653.36,3.8,Cruise,96 hours,7.2,
POI_00098,Friends,7,65+,Japan,7.2,6.8,Beautiful location but crowded,501.47,6.7,Bus,30 mins,6.4,
POI_00099,Family,5,26-35,China,5.5,6.1,Highly recommended destination,798.47,5.1,Flight,180 mins,6.5,
POI_00100,Couple,2,36-45,Germany,9,8.5,Excellent facilities and staff,763.38,4.6,Cruise,60 mins,9.3,
POI_00101,Couple,2,46-55,China,6.9,7.1,Could be better maintained,553.47,4,Bus,240 mins,7.7,
POI_00102,Solo,1,18-25,Japan,8.5,8.1,Peaceful and relaxing atmosphere,322.31,4.1,Flight,240 mins,8.1,
POI_00103,Couple,2,36-45,Canada,7.1,7.1,Highly recommended destination,371.35,5.8,Train,30 mins,7.4,
POI_00104,Friends,4,46-55,United Kingdom,7.8,8.6,Perfect for families,637.3,6.1,Car,90 mins,9.2,
POI_00105,Friends,5,36-45,France,8.6,9,Unforgettable memories created,684.84,4.6,Train,90 mins,8.8,
POI_00106,Solo,1,36-45,Australia,8.5,8.1,Perfect for families,665.01,4.5,Train,120 hours,7.7,
POI_00107,Couple,2,36-45,Canada,6.4,6.1,Good value for money,431.67,3.2,Train,60 mins,6.7,
POI_00108,Friends,7,26-35,United Kingdom,8.7,9.1,Excellent facilities and staff,428.99,8.6,Cruise,60 mins,9.5,
POI_00109,Couple,2,36-45,Canada,6.7,6.3,Good value for money,786.83,5.6,Car,240 mins,6.7,
POI_00110,Family,5,18-25,Canada,6.6,6.3,Perfect for families,213.17,4.7,Cruise,30 mins,6.6,
POI_00111,Couple,2,46-55,China,6.4,6.9,Good value for money,302.22,4.8,Bus,90 mins,7.5,
POI_00112,Couple,2,18-25,Japan,6.6,7,Beautiful location but crowded,127.25,3.6,Car,60 mins,6.5,
POI_00113,Family,3,26-35,United Kingdom,9,9.8,Highly recommended destination,148.31,9.5,Cruise,180 mins,9.8,
POI_00114,Couple,2,46-55,Canada,7.3,7.7,Beautiful location but crowded,312.94,5,Flight,120 mins,7.3,
POI_00115,Family,3,26-35,Australia,9.8,9.3,Excellent facilities and staff,508.64,9.1,Flight,180 mins,8.4,
POI_00116,Solo,1,65+,Australia,8.3,8.8,Perfect for families,341.74,5.9,Car,240 mins,9.6,
POI_00117,Couple,2,18-25,Japan,5.6,6.1,Highly recommended destination,453.36,5.2,Car,240 mins,6.5,
POI_00118,Friends,5,18-25,France,8.8,9.2,Good value for money,314.74,6.2,Flight,60 mins,9.4,
POI_00119,Solo,1,65+,Germany,10,9.8,Peaceful and relaxing atmosphere,147.25,7.4,Car,30 mins,9.2,
POI_00120,Family,3,26-35,Canada,7.2,7.1,Could be better maintained,536.55,5.9,Car,180 mins,6.8,
POI_00121,Solo,1,36-45,France,6.5,6.4,Peaceful and relaxing atmosphere,277.17,4.6,Bus,180 mins,7,
POI_00122,Friends,6,36-45,United States,7.1,7.7,Beautiful location but crowded,239.49,7.2,Bus,90 mins,8.1,
POI_00123,Couple,2,18-25,Germany,9,9.8,Perfect for families,359.78,9.4,Car,96 hours,10,
POI_00124,Couple,2,56-65,Japan,7.8,7.8,Breathtaking views,139.32,5.8,Car,72 hours,8.5,
POI_00125,Family,5,65+,Canada,8.9,9.3,Good value for money,739.65,9.1,Cruise,72 hours,9,
POI_00126,Solo,1,65+,Japan,8.9,9.4,Perfect for families,182.29,5.5,Flight,120 hours,8.5,
POI_00127,Solo,1,26-35,United Kingdom,6.8,6.9,Good value for money,400.26,5.3,Bus,30 mins,7.2,
POI_00128,Family,5,46-55,Canada,6,6.6,Highly recommended destination,431.98,5.2,Bus,120 mins,6.8,
POI_00129,Couple,2,56-65,United Kingdom,8.4,7.8,Excellent facilities and staff,372.58,6,Bus,180 mins,8.5,
POI_00130,Couple,2,36-45,France,7.7,7.5,Beautiful location but crowded,438.79,3.8,Car,60 mins,8,
POI_00131,Couple,2,65+,Japan,8.6,8.5,Unforgettable memories created,542.67,4.9,Flight,30 mins,8.5,
POI_00132,Family,4,65+,France,8.5,8.8,Could be better maintained,288.66,5.2,Train,240 mins,9.1,
POI_00133,Friends,7,46-55,Germany,7.4,7.7,Perfect for families,730.67,7.7,Cruise,60 mins,8.2,
POI_00134,Solo,1,36-45,Germany,7.2,7,Could be better maintained,262.41,3.6,Flight,90 mins,7.4,
POI_00135,Family,5,56-65,Japan,9.9,9,Good value for money,554.66,8.1,Train,120 mins,9.4,
POI_00136,Couple,2,26-35,Japan,9.2,8.6,Amazing experience with great service,218.81,4.4,Flight,90 mins,9.1,
POI_00137,Family,5,46-55,Japan,10,9.7,Amazing experience with great service,237.66,8.4,Bus,30 mins,9.3,
POI_00138,Family,4,56-65,China,9.4,9.9,Excellent facilities and staff,170.68,5.8,Flight,120 mins,9.2,
POI_00139,Solo,1,18-25,United States,7.1,7.4,Excellent facilities and staff,494.39,6.7,Car,120 mins,6.9,
POI_00140,Couple,2,46-55,France,8.2,7.7,Unforgettable memories created,792.62,7.3,Car,180 mins,7.5,
POI_00141,Solo,1,46-55,France,8.8,9,Amazing experience with great service,563.17,5.1,Cruise,120 mins,9.1,
POI_00142,Friends,4,26-35,Germany,9.9,9.2,Amazing experience with great service,274.77,5.8,Cruise,240 mins,8.3,
POI_00143,Couple,2,46-55,Canada,7.9,7.2,Amazing experience with great service,638.61,5,Train,180 mins,7.7,
POI_00144,Family,3,56-65,Japan,8.4,8.2,Peaceful and relaxing atmosphere,296.73,4.8,Cruise,120 mins,8,
POI_00145,Friends,6,36-45,Canada,6.3,6.1,Perfect for families,322.28,5.6,Cruise,240 mins,6.6,
POI_00146,Couple,2,36-45,United States,8,7.4,Peaceful and relaxing atmosphere,143.27,4,Flight,90 mins,6.9,
POI_00147,Couple,2,26-35,United States,10,9.6,Highly recommended destination,290.14,5.7,Train,240 mins,9,
POI_00148,Couple,2,46-55,Canada,6.8,6.7,Could be better maintained,559.92,6.4,Train,90 mins,6.6,
POI_00149,Friends,7,26-35,United States,8,8.4,Breathtaking views,778.81,6,Bus,60 mins,8.1,
POI_00150,Friends,7,26-35,Canada,7.5,7.9,Peaceful and relaxing atmosphere,366.69,7.1,Train,30 mins,8.4,
POI_00151,Family,3,56-65,Germany,6.4,6.6,Excellent facilities and staff,485.46,4.6,Cruise,240 mins,7,
POI_00152,Friends,5,36-45,Germany,7,6.7,Amazing experience with great service,770.68,4.1,Car,120 mins,7.2,
POI_00153,Couple,2,18-25,China,6.3,6.6,Could be better maintained,501.13,4.4,Car,60 mins,6,
POI_00154,Friends,3,26-35,Canada,9.3,9.1,Unforgettable memories created,255.87,5.9,Car,120 mins,9.2,
POI_00155,Family,4,18-25,China,8.2,8.4,Amazing experience with great service,120.06,6.6,Cruise,180 mins,7.6,
POI_00156,Friends,7,18-25,Canada,6.9,7.5,Amazing experience with great service,415.04,5,Bus,48 hours,8.1,
POI_00157,Solo,1,65+,Germany,9.6,9.2,Unforgettable memories created,235.4,7.6,Flight,30 mins,8.8,
POI_00158,Solo,1,36-45,Australia,7.2,6.6,Excellent facilities and staff,655.67,5.5,Train,240 mins,6.7,
POI_00159,Couple,2,65+,Japan,9.1,8.8,Beautiful location but crowded,692.82,5.8,Train,180 mins,9.1,
POI_00160,Friends,5,26-35,Germany,9.8,9,Could be better maintained,332.38,6.6,Car,48 hours,8.1,
POI_00161,Couple,2,18-25,China,9.6,9.6,Unforgettable memories created,588.48,9.1,Flight,120 mins,10,
POI_00162,Couple,2,18-25,United Kingdom,9.2,8.9,Highly recommended destination,172.4,6.2,Car,60 mins,9.3,
POI_00163,Couple,2,46-55,France,8.9,8.1,Peaceful and relaxing atmosphere,410.87,6.2,Flight,180 mins,8.7,
POI_00164,Family,3,65+,Australia,5.9,6.5,Breathtaking views,299.18,4.7,Train,72 hours,6.7,
POI_00165,Couple,2,46-55,United States,8.4,8.3,Highly recommended destination,611.16,5.7,Bus,120 mins,8.5,
POI_00166,Family,4,18-25,Germany,8,7.3,Amazing experience with great service,364.49,3.9,Car,120 mins,7.1,
POI_00167,Solo,1,26-35,Germany,8.3,8.6,Beautiful location but crowded,188.78,6,Bus,60 mins,8,
POI_00168,Family,5,36-45,France,8.7,8.3,Perfect for families,510.64,7.6,Cruise,120 mins,7.6,
POI_00169,Friends,3,18-25,Germany,6.6,6.2,Excellent facilities and staff,296.23,3.5,Flight,90 mins,6.1,
POI_00170,Friends,7,56-65,Germany,8.5,8.4,Could be better maintained,523.56,5.1,Cruise,240 mins,8.6,
POI_00171,Couple,2,26-35,Canada,6.1,6.7,Excellent facilities and staff,149.81,5.3,Cruise,240 mins,6.8,
POI_00172,Couple,2,18-25,Germany,10,9.4,Highly recommended destination,579.02,9.2,Bus,90 mins,8.7,
POI_00173,Friends,6,18-25,United States,6.8,6.7,Highly recommended destination,432.56,6.4,Car,180 mins,6.1,
POI_00174,Family,3,36-45,France,7,6.7,Breathtaking views,197.99,4.7,Flight,90 mins,6.8,
POI_00175,Friends,5,46-55,Canada,10,10,Amazing experience with great service,247.08,8.7,Flight,48 hours,9.1,
POI_00176,Friends,3,36-45,United States,7.1,7,Beautiful location but crowded,759.03,4.1,Car,180 mins,7,
POI_00177,Family,4,26-35,Germany,8.5,8.4,Unforgettable memories created,398.55,6.8,Bus,120 hours,7.7,
POI_00178,Solo,1,36-45,Australia,10,9.7,Perfect for families,604.11,6.2,Flight,72 hours,10,
POI_00179,Friends,7,18-25,France,8.8,9,Good value for money,191.5,7.5,Flight,30 mins,9.4,
POI_00180,Solo,1,18-25,France,8.8,9.1,Could be better maintained,143.7,6.8,Car,72 hours,8.4,
POI_00181,Solo,1,18-25,Japan,8.4,8.7,Highly recommended destination,563.62,7.6,Flight,120 hours,9.2,
POI_00182,Couple,2,56-65,United Kingdom,8.9,8.9,Breathtaking views,523.02,6.5,Train,60 mins,9.5,
POI_00183,Family,3,46-55,France,8.6,9.5,Could be better maintained,480.98,9.4,Flight,90 mins,9.3,
POI_00184,Solo,1,46-55,Japan,8.6,8.7,Unforgettable memories created,279.65,7.6,Bus,90 mins,8.7,
POI_00185,Friends,6,36-45,United Kingdom,10,9.7,Breathtaking views,177.42,5,Car,90 mins,10,
POI_00186,Couple,2,56-65,United Kingdom,9.6,9.5,Highly recommended destination,794.49,8.8,Flight,96 hours,8.7,
POI_00187,Family,3,65+,United Kingdom,7.5,6.9,Breathtaking views,142.16,4.5,Bus,30 mins,6.6,
POI_00188,Solo,1,18-25,Germany,6.8,6.3,Perfect for families,736.44,5.7,Train,240 mins,6.8,
POI_00189,Couple,2,56-65,Germany,10,9.2,Could be better maintained,346.63,4.8,Car,120 mins,8.6,
POI_00190,Friends,6,18-25,France,6.4,6.6,Breathtaking views,203.95,5.3,Flight,30 mins,7,
POI_00191,Friends,6,18-25,Canada,7.5,7.9,Could be better maintained,370.77,4.3,Car,30 mins,7.3,
POI_00192,Couple,2,56-65,United Kingdom,8.8,9,Perfect for families,631.88,6,Cruise,120 mins,9.8,
POI_00193,Solo,1,65+,Germany,9.5,9.8,Could be better maintained,655.75,9.5,Cruise,120 mins,10,
POI_00194,Family,5,36-45,Germany,7.3,6.7,Could be better maintained,398.97,4.9,Flight,72 hours,7.2,
POI_00195,Friends,3,56-65,United Kingdom,10,9.4,Peaceful and relaxing atmosphere,183.57,6.2,Cruise,180 mins,10,
POI_00196,Couple,2,56-65,Australia,7.2,6.7,Breathtaking views,566.85,4.8,Cruise,60 mins,7.3,
POI_00197,Family,4,26-35,United Kingdom,6.7,6.7,Perfect for families,470.06,4.5,Bus,120 hours,6.7,
POI_00198,Friends,5,46-55,Canada,10,9.7,Breathtaking views,439.51,5.3,Bus,120 mins,10,
POI_00199,Couple,2,56-65,France,9.2,9.1,Excellent facilities and staff,499.63,6.1,Bus,180 mins,8.8,
POI_00200,Friends,6,56-65,Germany,7.9,7.8,Breathtaking views,274.82,5.2,Flight,240 mins,8.3,
POI_00201,Friends,7,18-25,Germany,6.8,6.5,Good value for money,573.48,4.2,Cruise,240 mins,6.1,
POI_00202,Couple,2,18-25,Japan,6.2,6.8,Highly recommended destination,476.85,6.5,Car,180 mins,6.6,
POI_00203,Friends,6,18-25,France,10,9.1,Excellent facilities and staff,364.04,8.2,Train,60 mins,9,
POI_00204,Friends,3,18-25,China,6.3,6.2,Breathtaking views,565.32,4.4,Cruise,72 hours,6.4,
POI_00205,Friends,5,26-35,Australia,8.1,8.9,Good value for money,484.8,6.3,Bus,90 mins,9.6,
POI_00206,Solo,1,18-25,China,7.1,6.5,Could be better maintained,439.66,3.8,Flight,30 mins,7,
POI_00207,Solo,1,65+,Japan,6.3,6.5,Peaceful and relaxing atmosphere,530.55,6.3,Flight,90 mins,7.1,
POI_00208,Friends,7,18-25,United Kingdom,9,8.3,Unforgettable memories created,334.41,6.5,Train,180 mins,9,
POI_00209,Friends,4,18-25,China,9,8.9,Beautiful location but crowded,586.48,6.7,Car,90 mins,9.8,
POI_00210,Friends,5,36-45,Germany,8.1,7.4,Excellent facilities and staff,499.84,6.9,Bus,120 hours,6.9,
POI_00211,Family,3,46-55,Japan,8.9,9.8,Excellent facilities and staff,370.4,6.6,Train,90 mins,9.4,
POI_00212,Couple,2,65+,Australia,8.1,8.9,Peaceful and relaxing atmosphere,690.67,6.5,Flight,60 mins,8.4,
POI_00213,Friends,4,56-65,Australia,7.6,7.6,Perfect for families,644.41,7.1,Cruise,48 hours,8.1,
POI_00214,Solo,1,46-55,France,10,9.2,Highly recommended destination,209.45,8.1,Bus,120 mins,9.3,
POI_00215,Family,5,18-25,Germany,7.6,7.2,Excellent facilities and staff,637.44,4,Cruise,90 mins,7.4,
POI_00216,Friends,3,18-25,Canada,6.7,6.5,Unforgettable memories created,707.6,5.9,Cruise,30 mins,6.7,
POI_00217,Family,5,56-65,France,7.1,6.5,Excellent facilities and staff,145.69,5.9,Car,48 hours,6.7,
POI_00218,Family,4,65+,China,6.2,6.2,Could be better maintained,348.7,5.2,Bus,180 mins,6.4,
POI_00219,Solo,1,26-35,United States,6.8,6.3,Amazing experience with great service,674.36,5.5,Flight,60 mins,5.7,
POI_00220,Couple,2,36-45,Germany,8,8.4,Breathtaking views,118.63,7.3,Car,90 mins,8.6,
POI_00221,Friends,4,18-25,Canada,6.9,6.7,Peaceful and relaxing atmosphere,319.91,6.6,Car,90 mins,6.1,
POI_00222,Friends,5,36-45,Canada,9.4,9.6,Good value for money,788.86,6.2,Cruise,60 mins,9.2,
POI_00223,Friends,3,65+,France,7.2,7.8,Beautiful location but crowded,550.4,4.7,Train,180 mins,7.2,
POI_00224,Friends,7,65+,Japan,8.1,7.8,Could be better maintained,270.53,7,Flight,180 mins,7.2,
POI_00225,Family,4,36-45,Australia,9.7,9.5,Perfect for families,202.27,8.7,Car,120 mins,9,
POI_00226,Friends,4,36-45,Australia,8,8.7,Beautiful location but crowded,290.2,7.9,Cruise,72 hours,8.5,
POI_00227,Solo,1,26-35,Japan,5.9,6.5,Excellent facilities and staff,353.08,5,Flight,240 mins,7.1,
POI_00228,Solo,1,46-55,Canada,7,6.4,Highly recommended destination,696.11,6,Cruise,60 mins,6.3,
POI_00229,Friends,6,36-45,China,8.8,8.9,Unforgettable memories created,441.53,5.4,Cruise,72 hours,9.1,
POI_00230,Solo,1,18-25,Canada,6.3,6.8,Amazing experience with great service,363.07,3.7,Train,120 hours,7,
POI_00231,Couple,2,26-35,France,8,8.7,Peaceful and relaxing atmosphere,331.64,5.4,Bus,60 mins,9.5,
POI_00232,Solo,1,18-25,France,6.7,7.4,Breathtaking views,535.78,4.8,Train,120 mins,7.2,
POI_00233,Friends,6,36-45,Japan,8.4,9.3,Breathtaking views,772.26,4.9,Car,60 mins,8.6,
POI_00234,Family,5,56-65,Germany,8,8,Excellent facilities and staff,151.03,6.5,Flight,48 hours,7.6,
POI_00235,Couple,2,26-35,Japan,9.9,9.4,Perfect for families,263.58,7.7,Cruise,30 mins,8.9,
POI_00236,Solo,1,18-25,United States,8,8,Good value for money,443.22,7.4,Cruise,48 hours,8.5,
POI_00237,Solo,1,18-25,United Kingdom,7,7.2,Unforgettable memories created,280.76,4.5,Train,30 mins,7.1,
POI_00238,Couple,2,26-35,Australia,9.4,9.4,Could be better maintained,157.36,5.6,Car,60 mins,10,
